	Perturbed Premise	Perturbed Hypothesis	label	Original Premise	Original Hypothesis	perturbed_label	attack
874	A tattooed man posing with a The carrying a yellow handbag.	woman couple poses together.	1	A tattooed man posing with a woman carrying a yellow handbag.	The couple poses together.	0	WordInnerSwapRandom
875	Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, Women riding horses.	are are outside at a riding competition where they watch men compete.	2	Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.	Women are outside at a riding competition where they watch men compete.	0	WordInnerSwapRandom
876	A person is on a four wheeler kicking up a lot of dirt in a dune.	The person is eating a big wheel.	1	A person is on a four wheeler kicking up a lot of dirt in a dune.	The person is riding a big wheel.	0	WordSwapMaskedLM
877	Man in white sweater looks from his press box onto the pitch.	A man writes his bicycle story	2	Man in white sweater looks from his press box onto the pitch.	A man writes his sports story	0	WordSwapMaskedLM
878	Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.	A woman is wearing a polka dot outfit, in the middle of a dangerous fire, passing out orange juice.	1	Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.	A woman is wearing a polka dot outfit, in the middle of a dangerous scene, passing out orange juice.	0	WordSwapMaskedLM
879	San Fransisco 49ers football field with cheerleaders and a packed stadium.	A popular rugby team in California has many fans.	1	San Fransisco 49ers football field with cheerleaders and a packed stadium.	A popular football team in California has many fans.	0	WordSwapMaskedLM
880	A man in aerodynamic gear riding a bicycle down a road around a sharp curve.	the man is walking to the store	2	A man in aerodynamic gear riding a bicycle down a road around a sharp curve.	the man is going to the store	0	WordSwapMaskedLM
881	Soldiers are holding guns and peeking around a building.	Soldiers are clearing heat near a building.	0	Soldiers are holding guns and peeking around a building.	Soldiers are packing heat near a building.	2	WordSwapMaskedLM
882	Three men in Soldier dress and helmets stand with guns outside of a building.	There are women avoiding traffic on a busy New York street.	2	Three men in Soldier dress and helmets stand with guns outside of a building.	There are people avoiding traffic on a busy New York street.	0	WordSwapMaskedLM
883	A tattooed man posing with a woman carrying a yellow handbag.	The couple dances together.	1	A tattooed man posing with a woman carrying a yellow handbag.	The couple poses together.	0	WordSwapMaskedLM
884	Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.	Women are skating at a riding competition where they watch men compete.	2	Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.	Women are outside at a riding competition where they watch men compete.	0	WordSwapMaskedLM
885	A person is on a four wheeler kicking up a lot of dirt in a dune.	The person is riding a v wheel.	1	A person is on a four wheeler kicking up a lot of dirt in a dune.	The person is riding a big wheel.	0	WordSwapWordNetSynonyms
886	Man in white sweater looks from his press box onto the pitch.	A man writes his v story	2	Man in white sweater looks from his press box onto the pitch.	A man writes his sports story	0	WordSwapWordNetSynonyms
887	Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.	A woman is wearing a polka dot outfit, in the middle of a dangerous u, passing out orange juice.	1	Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.	A woman is wearing a polka dot outfit, in the middle of a dangerous scene, passing out orange juice.	0	WordSwapWordNetSynonyms
888	San Fransisco 49ers football field with cheerleaders and a packed stadium.	A popular football team in n has many fans.	1	San Fransisco 49ers football field with cheerleaders and a packed stadium.	A popular football team in California has many fans.	2	WordSwapWordNetSynonyms
889	A man in aerodynamic gear riding a bicycle down a road around a sharp curve.	the k is going to the store	2	A man in aerodynamic gear riding a bicycle down a road around a sharp curve.	the man is going to the store	0	WordSwapWordNetSynonyms
890	Soldiers are holding guns and peeking around a building.	Soldiers are u heat near a building.	0	Soldiers are holding guns and peeking around a building.	Soldiers are packing heat near a building.	1	WordSwapWordNetSynonyms
891	Three men in Soldier dress and helmets stand with guns outside of a building.	There are z avoiding traffic on a busy New York street.	2	Three men in Soldier dress and helmets stand with guns outside of a building.	There are people avoiding traffic on a busy New York street.	0	WordSwapWordNetSynonyms
892	A tattooed man posing with a woman carrying a yellow handbag.	The couple v together.	1	A tattooed man posing with a woman carrying a yellow handbag.	The couple poses together.	0	WordSwapWordNetSynonyms
893	Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.	i are outside at a riding competition where they watch men compete.	2	Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.	Women are outside at a riding competition where they watch men compete.	0	WordSwapWordNetSynonyms
894	A person is on a four wheeler kicking up a lot of dirt in a dune.	The person is riding a big wheek.	1	A person is on a four wheeler kicking up a lot of dirt in a dune.	The person is riding a big wheel.	0	WordSwapQWERTY
895	Man in white sweater looks from his press box onto the pitch.	A man writes his sports stpry	2	Man in white sweater looks from his press box onto the pitch.	A man writes his sports story	0	WordSwapQWERTY
896	Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.	A woman is wearing a polka dot outfit, in the middle of a dangerous scrne, passing out orange juice.	1	Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.	A woman is wearing a polka dot outfit, in the middle of a dangerous scene, passing out orange juice.	0	WordSwapQWERTY
897	San Fransisco 49ers football field with cheerleaders and a packed stadium.	A popular football team in Califoenia has many fans.	1	San Fransisco 49ers football field with cheerleaders and a packed stadium.	A popular football team in California has many fans.	2	WordSwapQWERTY
898	A man in aerodynamic gear riding a bicycle down a road around a sharp curve.	the mah is going to the store	2	A man in aerodynamic gear riding a bicycle down a road around a sharp curve.	the man is going to the store	0	WordSwapQWERTY
899	Soldiers are holding guns and peeking around a building.	Soldiees are paciing hwat jear a building.	0	Soldiers are holding guns and peeking around a building.	Soldiers are packing heat near a building.	2	WordSwapQWERTY
900	Three men in Soldier dress and helmets stand with guns outside of a building.	There are people avoiding traffic on a busy New Yori street.	2	Three men in Soldier dress and helmets stand with guns outside of a building.	There are people avoiding traffic on a busy New York street.	0	WordSwapQWERTY
901	A tattooed man posing with a woman carrying a yellow handbag.	The couple loses together.	1	A tattooed man posing with a woman carrying a yellow handbag.	The couple poses together.	0	WordSwapQWERTY
902	Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.	Womfn are ouyside at a riding competition where they watch men compete.	2	Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.	Women are outside at a riding competition where they watch men compete.	0	WordSwapQWERTY
903	A person is on a four wheeler kicking up a lot of dirt in a dune.	The person is riding a big tyre.	1	A person is on a four wheeler kicking up a lot of dirt in a dune.	The person is riding a big wheel.	0	WordSwapEmbedding
904	Man in white sweater looks from his press box onto the pitch.	A man writes his gym story	2	Man in white sweater looks from his press box onto the pitch.	A man writes his sports story	0	WordSwapEmbedding
905	Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.	A woman is wearing a polka dot outfit, in the middle of a dangerous theater, passing out orange juice.	1	Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.	A woman is wearing a polka dot outfit, in the middle of a dangerous scene, passing out orange juice.	0	WordSwapEmbedding
906	San Fransisco 49ers football field with cheerleaders and a packed stadium.	A popular football team in Bakersfield has many fans.	1	San Fransisco 49ers football field with cheerleaders and a packed stadium.	A popular football team in California has many fans.	0	WordSwapEmbedding
907	A man in aerodynamic gear riding a bicycle down a road around a sharp curve.	the man is disappeared to the store	2	A man in aerodynamic gear riding a bicycle down a road around a sharp curve.	the man is going to the store	0	WordSwapEmbedding
908	Soldiers are holding guns and peeking around a building.	Militarily are packing heat near a building.	0	Soldiers are holding guns and peeking around a building.	Soldiers are packing heat near a building.	1	WordSwapEmbedding
909	Three men in Soldier dress and helmets stand with guns outside of a building.	There are people evita traffic on a busy New York street.	2	Three men in Soldier dress and helmets stand with guns outside of a building.	There are people avoiding traffic on a busy New York street.	0	WordSwapEmbedding
910	A tattooed man posing with a woman carrying a yellow handbag.	The matches poses together.	1	A tattooed man posing with a woman carrying a yellow handbag.	The couple poses together.	0	WordSwapEmbedding
911	Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.	Women are outboard at a riding competition where they watch men compete.	2	Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.	Women are outside at a riding competition where they watch men compete.	0	WordSwapEmbedding
912	A person is on a four wheeler kicking up a lot of dirt in a dune.	The person is riding a jeep.	1	A person is on a four wheeler kicking up a lot of dirt in a dune.	The person is riding a big wheel.	0	WordMergeMaskedLM
913	Man in white sweater looks from his press box onto the pitch.	A man writes my story	2	Man in white sweater looks from his press box onto the pitch.	A man writes his sports story	0	WordMergeMaskedLM
914	Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.	A woman is wearing a polka dot outfit, in the middle of a dangerous scene, passing out unconscious.	1	Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.	A woman is wearing a polka dot outfit, in the middle of a dangerous scene, passing out orange juice.	0	WordMergeMaskedLM
915	San Fransisco 49ers football field with cheerleaders and a packed stadium.	A popular football team in California has died.	1	San Fransisco 49ers football field with cheerleaders and a packed stadium.	A popular football team in California has many fans.	0	WordMergeMaskedLM
916	girl in aerodynamic gear riding a bicycle down a road around a sharp curve.	the man is going to the store	2	A man in aerodynamic gear riding a bicycle down a road around a sharp curve.	the man is going to the store	0	WordMergeMaskedLM
917	Soldiers are holding guns and peeking around a building.	Soldiers are gathered near a building.	0	Soldiers are holding guns and peeking around a building.	Soldiers are packing heat near a building.	1	WordMergeMaskedLM
918	Three men in Soldier dress and helmets stand with guns outside of a building.	There are people driving on a busy New York street.	2	Three men in Soldier dress and helmets stand with guns outside of a building.	There are people avoiding traffic on a busy New York street.	0	WordMergeMaskedLM
919	A tattooed man posing with a woman carrying a yellow handbag.	The couple dancing.	1	A tattooed man posing with a woman carrying a yellow handbag.	The couple poses together.	0	WordMergeMaskedLM
920	Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are inside.	Women are outside at a riding competition where they watch men compete.	2	Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.	Women are outside at a riding competition where they watch men compete.	0	WordMergeMaskedLM
921	A person is on a four wheeler kicking up a lot of dirt in a dune.	The person is riding a big wheeⅼ.	1	A person is on a four wheeler kicking up a lot of dirt in a dune.	The person is riding a big wheel.	0	WordSwapHomoglyphSwap
922	Man in white sweater looks from his press box onto the pitch.	A man writes his sportѕ story	2	Man in white sweater looks from his press box onto the pitch.	A man writes his sports story	0	WordSwapHomoglyphSwap
923	Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.	A woman is wearing a polka dot outfit, in the middle of a dangerous sceոe, passing out orange juice.	1	Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.	A woman is wearing a polka dot outfit, in the middle of a dangerous scene, passing out orange juice.	0	WordSwapHomoglyphSwap
924	San Fransisco 49ers football field with cheerleaders and a packed stadium.	A popular football team in Cɑlifornia has many fans.	1	San Fransisco 49ers football field with cheerleaders and a packed stadium.	A popular football team in California has many fans.	2	WordSwapHomoglyphSwap
925	A man in aerodynamic gear riding a bicycle down a road around a sharp curve.	the man is ɡoing to the store	2	A man in aerodynamic gear riding a bicycle down a road around a sharp curve.	the man is going to the store	0	WordSwapHomoglyphSwap
926	Soldiers are holding guns and peeking around a building.	Soldiers are рacking heat near a building.	0	Soldiers are holding guns and peeking around a building.	Soldiers are packing heat near a building.	2	WordSwapHomoglyphSwap
927	Three men in Soldier dress and helmets stand with guns outside of a building.	There are people avoіding traffic on a busy New York street.	2	Three men in Soldier dress and helmets stand with guns outside of a building.	There are people avoiding traffic on a busy New York street.	0	WordSwapHomoglyphSwap
928	A tattooed man posing with a woman carrying a yellow handbag.	The couple poseѕ together.	1	A tattooed man posing with a woman carrying a yellow handbag.	The couple poses together.	0	WordSwapHomoglyphSwap
929	Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.	Wоmen are outside at a riding competition where they watch men compete.	2	Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.	Women are outside at a riding competition where they watch men compete.	0	WordSwapHomoglyphSwap
930	A person is on a four wheeler kicking up a lot of dirt in a dune.	The person is relieving a big wheel.	1	A person is on a four wheeler kicking up a lot of dirt in a dune.	The person is riding a big wheel.	2	WordSwapHowNet
931	Man in white sweater looks from his press box onto the pitch.	A man writes his exercises story	2	Man in white sweater looks from his press box onto the pitch.	A man writes his sports story	0	WordSwapHowNet
932	Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.	A woman is wearing a drama dot outfit, in the middle of a dangerous scene, passing out orange juice.	1	Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.	A woman is wearing a polka dot outfit, in the middle of a dangerous scene, passing out orange juice.	2	WordSwapHowNet
933	A man in aerodynamic gear riding a bicycle down a road around a sharp curve.	the mankind is going to the store	2	A man in aerodynamic gear riding a bicycle down a road around a sharp curve.	the man is going to the store	0	WordSwapHowNet
934	Three men in Soldier dress and helmets stand with guns outside of a building.	There are people avoiding traffic on a busy New York slide.	2	Three men in Soldier dress and helmets stand with guns outside of a building.	There are people avoiding traffic on a busy New York street.	0	WordSwapHowNet
935	A person is on a four wheeler kicking up a lot of dirt in a dune.	The person is riding a boastfully wheel.	1	A person is on a four wheeler kicking up a lot of dirt in a dune.	The person is riding a big wheel.	2	WordSwapWordNet
936	Man in white sweater looks from his press box onto the pitch.	A man writes his mutant story	2	Man in white sweater looks from his press box onto the pitch.	A man writes his sports story	0	WordSwapWordNet
937	Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.	A woman is wearing a polka dot outfit, in the middle of a dangerous scene, perish out orange juice.	1	Someone in a white and black polka dot outfit handing out small cartons of orange juice behind caution tape on a street.	A woman is wearing a polka dot outfit, in the middle of a dangerous scene, passing out orange juice.	0	WordSwapWordNet
938	San Fransisco 49ers football field with cheerleaders and a packed stadium.	A democratic football team in California has many winnow.	1	San Fransisco 49ers football field with cheerleaders and a packed stadium.	A popular football team in California has many fans.	0	WordSwapWordNet
939	A man in aerodynamic gear riding a bicycle down a road around a sharp curve.	the man is rifle to the store	2	A man in aerodynamic gear riding a bicycle down a road around a sharp curve.	the man is going to the store	0	WordSwapWordNet
940	Soldiers are holding guns and peeking around a building.	Soldiers are tamp heat near a building.	0	Soldiers are holding guns and peeking around a building.	Soldiers are packing heat near a building.	2	WordSwapWordNet
941	Three men in Soldier dress and helmets stand with guns outside of a building.	There are people forfend traffic on a busy New York street.	2	Three men in Soldier dress and helmets stand with guns outside of a building.	There are people avoiding traffic on a busy New York street.	0	WordSwapWordNet
942	A tattooed man posing with a woman carrying a yellow handbag.	The couple puzzle together.	1	A tattooed man posing with a woman carrying a yellow handbag.	The couple poses together.	0	WordSwapWordNet
943	Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.	Women are outside at a sit competition where they watch men compete.	2	Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.	Women are outside at a riding competition where they watch men compete.	0	WordSwapWordNet
944	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a frsehly opened marshmallow chick	0	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a freshly opened marshmallow chick	1	WordSwapNeighboringCharacterSwap
945	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are esated on a park bench, one in clown makeup and the other in a striped polo shirt.	0	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.	2	WordSwapNeighboringCharacterSwap
946	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a freshl opened marshmallow chick	0	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a freshly opened marshmallow chick	1	WordSwapRandomCharacterDeletion
947	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are seated on a park bench, one in clown makup and the other in a striped polo shit.	0	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.	2	WordSwapRandomCharacterDeletion
948	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a fresrhly opened marshmallow chick	0	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a freshly opened marshmallow chick	1	WordSwapRandomCharacterInsertion
949	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are Rseated on a park bench, one in clown makeup and the other in a striped polo shirt.	0	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.	2	WordSwapRandomCharacterInsertion
950	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a fjeshly opened marshmallow chick	0	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a freshly opened marshmallow chick	1	WordSwapRandomCharacterSubstitution
951	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are seated on a paBk bench, one in clown makeup and the other in a striped polo shirt.	0	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.	2	WordSwapRandomCharacterSubstitution
952	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are standing on a park bench, one in clown makeup and the other in a striped polo shirt.	0	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.	2	WordSwapWordNetAntonym
953	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a opened marshmallow chick	0	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a freshly opened marshmallow chick	2	WordDeletion
954	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are on a park bench, one in clown makeup and the other in a striped polo shirt.	0	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.	2	WordDeletion
955	A guy in glasses is biting into a pink marshmallow chick while somebody else is into their lips out wanting a bite.	A guy bites puckering a freshly opened marshmallow chick	0	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a freshly opened marshmallow chick	2	WordInnerSwapRandom
956	seated organ grinder, a World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are An on a park bench, one in clown makeup and the other in in striped polo shirt.	0	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.	2	WordInnerSwapRandom
957	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a freshly eggs marshmallow chick	0	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a freshly opened marshmallow chick	2	WordSwapMaskedLM
958	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are present on a park bench, one in clown makeup and the other in a striped polo shirt.	0	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.	2	WordSwapMaskedLM
959	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a h opened marshmallow chick	0	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a freshly opened marshmallow chick	1	WordSwapWordNetSynonyms
960	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are n on a park bench, one in clown makeup and the other in a striped polo shirt.	0	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.	2	WordSwapWordNetSynonyms
961	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a frsshly opened marshmallow chick	0	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a freshly opened marshmallow chick	1	WordSwapQWERTY
962	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are seated on a park bench, one in clown makrup and the other in a striped polo shirt.	0	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.	2	WordSwapQWERTY
963	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a freshly started marshmallow chick	0	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a freshly opened marshmallow chick	2	WordSwapEmbedding
964	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are sessions on a park bench, one in clown makeup and the other in a striped polo shirt.	0	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.	2	WordSwapEmbedding
965	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a pink marshmallow chick	0	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a freshly opened marshmallow chick	1	WordMergeMaskedLM
966	An adolescent, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.	0	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.	2	WordMergeMaskedLM
967	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a freshlу opened marshmallow chick	0	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a freshly opened marshmallow chick	1	WordSwapHomoglyphSwap
968	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are sеated on a park bench, one in clown makeup and the other in a striped polo shirt.	0	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.	2	WordSwapHomoglyphSwap
969	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a freshly dug marshmallow chick	0	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a freshly opened marshmallow chick	2	WordSwapHowNet
970	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are verged on a park bench, one in clown makeup and the other in a striped polo shirt.	0	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.	2	WordSwapHowNet
971	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a newly opened marshmallow chick	0	A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite.	A guy bites into a freshly opened marshmallow chick	2	WordSwapWordNet
972	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are seated on a park workbench, one in clown makeup and the other in a striped polo shirt.	0	An organ grinder, in World War I helmet and clown makeup, speaks to an older man in a blue, striped polo shirt.	Two men are seated on a park bench, one in clown makeup and the other in a striped polo shirt.	2	WordSwapWordNet
973	Shipyard workers are standing around.	Shipyard workers are unolading the ships	2	Shipyard workers are standing around.	Shipyard workers are unloading the ships	0	WordSwapNeighboringCharacterSwap
974	Two men and a Frisbee	Two men playing with a rFisbee.	1	Two men and a Frisbee	Two men playing with a Frisbee.	2	WordSwapNeighboringCharacterSwap
975	Shipyard workers are standing around.	Shpyard workes are unloadig the shis	2	Shipyard workers are standing around.	Shipyard workers are unloading the ships	0	WordSwapRandomCharacterDeletion
976	Two men stand in hula grass skirts stand in the back of a truck at the top of a silver ramp.	The two men are wearing jogging clthes.	2	Two men stand in hula grass skirts stand in the back of a truck at the top of a silver ramp.	The two men are wearing jogging clothes.	0	WordSwapRandomCharacterDeletion
977	Two men and a Frisbee	Two me playing with a Frisbee.	1	Two men and a Frisbee	Two men playing with a Frisbee.	0	WordSwapRandomCharacterDeletion
978	3 girls chatting and laughing on the stairwell.	A group of Mgirls are having fun.	1	3 girls chatting and laughing on the stairwell.	A group of girls are having fun.	2	WordSwapRandomCharacterInsertion
979	Shipyard workers are standing around.	ShipyWard workers are unlnoading the shCips	2	Shipyard workers are standing around.	Shipyard workers are unloading the ships	1	WordSwapRandomCharacterInsertion
980	Two men stand in hula grass skirts stand in the back of a truck at the top of a silver ramp.	The two men are wearing jogging cloXthes.	2	Two men stand in hula grass skirts stand in the back of a truck at the top of a silver ramp.	The two men are wearing jogging clothes.	0	WordSwapRandomCharacterInsertion
981	Two men stand in hula grass skirts stand in the back of a truck at the top of a silver ramp.	The two men are wearing jogging flothes.	2	Two men stand in hula grass skirts stand in the back of a truck at the top of a silver ramp.	The two men are wearing jogging clothes.	0	WordSwapRandomCharacterSubstitution
982	Two men and a Frisbee	Two men playzng with a Frisbee.	1	Two men and a Frisbee	Two men playing with a Frisbee.	2	WordSwapRandomCharacterSubstitution
983	3 girls chatting and laughing on the stairwell.	 of girls are.	1	3 girls chatting and laughing on the stairwell.	A group of girls are having fun.	0	WordDeletion
984	Shipyard workers are standing around.	Shipyard workers are the ships	2	Shipyard workers are standing around.	Shipyard workers are unloading the ships	0	WordDeletion
985	Two men stand in hula grass skirts stand in the back of a truck at the top of a silver ramp.	The two men are wearing clothes.	2	Two men stand in hula grass skirts stand in the back of a truck at the top of a silver ramp.	The two men are wearing jogging clothes.	1	WordDeletion
986	Two men and a Frisbee	Two men playing a Frisbee.	1	Two men and a Frisbee	Two men playing with a Frisbee.	2	WordDeletion
987	3 fun chatting and laughing on the stairwell.	A group of girls are having girls.	1	3 girls chatting and laughing on the stairwell.	A group of girls are having fun.	2	WordInnerSwapRandom
988	workers unloading are standing around.	Shipyard Shipyard workers are the ships	2	Shipyard workers are standing around.	Shipyard workers are unloading the ships	0	WordInnerSwapRandom
989	Two men stand in hula grass skirts stand in the back of wearing truck at the top of a silver ramp.	The two men are a jogging clothes.	2	Two men stand in hula grass skirts stand in the back of a truck at the top of a silver ramp.	The two men are wearing jogging clothes.	0	WordInnerSwapRandom
990	Two men and a Frisbee	Two men playing Frisbee a with.	1	Two men and a Frisbee	Two men playing with a Frisbee.	2	WordInnerSwapRandom
991	3 girls chatting and laughing on the stairwell.	A group of girls are having sex.	1	3 girls chatting and laughing on the stairwell.	A group of girls are having fun.	0	WordSwapMaskedLM
992	Shipyard workers are standing around.	Shipyard workers are unding the ships	2	Shipyard workers are standing around.	Shipyard workers are unloading the ships	0	WordSwapMaskedLM
993	Two men stand in hula grass skirts stand in the back of a truck at the top of a silver ramp.	The two men are sitting jogging clothes.	2	Two men stand in hula grass skirts stand in the back of a truck at the top of a silver ramp.	The two men are wearing jogging clothes.	0	WordSwapMaskedLM
994	Two men and a Frisbee	Two men sleeping with a Frisbee.	1	Two men and a Frisbee	Two men playing with a Frisbee.	0	WordSwapMaskedLM
