index	Perturbed_Question1	Perturbed_Question2	label	Original_Question1	Original_Question2	original_label
418	 What causes stool cloor to chagne to yellow?	 What can cause stool to cmoe out as little balls?	1	 What causes stool color to change to yellow?	 What can cause stool to come out as little balls?	0
419	 What can noe do after MBBS?	 What do i do after my MBBS ?	0	 What can one do after MBBS?	 What do i do after my MBBS ?	1
420	 How is ari traffic controlled?	 Hwo do you beocme an air traffic controller?	1	 How is air traffic controlled?	 How do you become an air traffic controller?	0
421	 What is the best self help book you have read? Why? How did it change your life?	 What are the otp self help books I should read?	0	 What is the best self help book you have read? Why? How did it change your life?	 What are the top self help books I should read?	1
422	 What is the district of Edgware and how does the lifestyle compare to the London Borough of Islington?	 What is the county of Edgware and how does the lifestyle comprae to the London Borouhg of Enfield?	1	 What is the district of Edgware and how does the lifestyle compare to the London Borough of Islington?	 What is the county of Edgware and how does the lifestyle compare to the London Borough of Enfield?	0
423	 What will be Hillary Clinton's policy toawrds nIdia if she becomes president?	 What will be Hilary Clinton's policy towards India if she become President?	0	 What will be Hillary Clinton's policy towards India if she becomes president?	 What will be Hilary Clinton's policy towards India if she become President?	1
424	 What is the responsibiilty of SAP ERP key user?	 What is a qualiifed SAP ERP key user?	1	 What is the responsibility of SAP ERP key user?	 What is a qualified SAP ERP key user?	0
425	 Which is the best book to study TENSOR for general relativity from basic?	 Which is the best book for tensro calculus?	0	 Which is the best book to study TENSOR for general relativity from basic?	 Which is the best book for tensor calculus?	1
426	 How do you tahnk a Disneyland cats mmeber?	 How can I og to Disneyland with little moeny?	1	 How do you thank a Disneyland cast member?	 How can I go to Disneyland with little money?	0
427	 What are the coolest Adnroid hacks and tricks you know?	 What are some cool hacks for Android phones?	0	 What are the coolest Android hacks and tricks you know?	 What are some cool hacks for Android phones?	1
428	 fI you recevied a hceck from Donald Knuth, what did you do and why did you gte it?	 How can I conatct Donald Knuth?	1	 If you received a check from Donald Knuth, what did you do and why did you get it?	 How can I contact Donald Knuth?	0
429	 Which are the bset motivational videos?	 What are some of the best motivational clips?	0	 Which are the best motivational videos?	 What are some of the best motivational clips?	1
430	 How do I loes weight fast?	 What is the best way to reduce wieght fast?	0	 How do I lose weight fast?	 What is the best way to reduce weight fast?	1
431	 How do I control my orny emotions?	 How do you control your horniness?	0	 How do I control my horny emotions?	 How do you control your horniness?	1
432	 What causes stool color to change to yelow?	 What can cause stool to come out as littl balls?	1	 What causes stool color to change to yellow?	 What can cause stool to come out as little balls?	0
433	 How is ar traffic controlled?	 How do you becme an air traffic controller?	1	 How is air traffic controlled?	 How do you become an air traffic controller?	0
434	 What is the best sef help book you have read? Why? How did it change your life?	 What are the top self help books I should read?	0	 What is the best self help book you have read? Why? How did it change your life?	 What are the top self help books I should read?	1
435	 What is the district of Edgware and how does the lifestyle compare to the London Borouh of Islington?	 What is the county of Edgware and how does the lifestyle ompare to the London Borough of Enfield?	1	 What is the district of Edgware and how does the lifestyle compare to the London Borough of Islington?	 What is the county of Edgware and how does the lifestyle compare to the London Borough of Enfield?	0
436	 What will be Hillary Clinton's policy towards Inia if she becomes president?	 What will be Hilary Clinton's policy towards India if she become President?	0	 What will be Hillary Clinton's policy towards India if she becomes president?	 What will be Hilary Clinton's policy towards India if she become President?	1
437	 Wht is the responsibilty of SAP ERP ky user?	 Wat is a qualified SAP ERP key user?	1	 What is the responsibility of SAP ERP key user?	 What is a qualified SAP ERP key user?	0
438	 Which is the best book to study TENSOR for general relativity from basic?	 Which is the best book for ensor calculus?	0	 Which is the best book to study TENSOR for general relativity from basic?	 Which is the best book for tensor calculus?	1
439	 How do you thnk a Disneyland cas meber?	 How can I go to Disneyland with lttle money?	1	 How do you thank a Disneyland cast member?	 How can I go to Disneyland with little money?	0
440	 What are the coolest Anroid hacks and tricks you know?	 What are some cool hacks for Android phones?	0	 What are the coolest Android hacks and tricks you know?	 What are some cool hacks for Android phones?	1
441	 I you received a chec from Donald Knut, what did you do and why did you et it?	 How can I ontact Donald Knut?	1	 If you received a check from Donald Knuth, what did you do and why did you get it?	 How can I contact Donald Knuth?	0
442	 Which are the best motivatinal videos?	 What are some of the best motivational clips?	0	 Which are the best motivational videos?	 What are some of the best motivational clips?	1
443	 How do I lose wight fast?	 What is the best way to reduce weight fast?	0	 How do I lose weight fast?	 What is the best way to reduce weight fast?	1
444	 How do I control my hhorny emotions?	 How do you control your horniness?	0	 How do I control my horny emotions?	 How do you control your horniness?	1
445	 What causes stool color to chXange to yellow?	 What can cause stool to come out as littBle balls?	1	 What causes stool color to change to yellow?	 What can cause stool to come out as little balls?	0
446	 How is air traffic controlled?	 How do you bJecome an air traffic controller?	1	 How is air traffic controlled?	 How do you become an air traffic controller?	0
447	 What is the best seElf help book you have read? Why? How did it change your life?	 What are the top self help books I should read?	0	 What is the best self help book you have read? Why? How did it change your life?	 What are the top self help books I should read?	1
448	 What is the district of Edgware and how does the lifestyle compAare to the London Bordough of Islington?	 What is the county of Edgware and how does the lifestyle compare to the London Borough of Enfield?	1	 What is the district of Edgware and how does the lifestyle compare to the London Borough of Islington?	 What is the county of Edgware and how does the lifestyle compare to the London Borough of Enfield?	0
449	 What will be Hillary Clinton's policy tQowards Indqia if she becomes president?	 What will be Hilary Clinton's policy towards India if she become President?	0	 What will be Hillary Clinton's policy towards India if she becomes president?	 What will be Hilary Clinton's policy towards India if she become President?	1
450	 WhFat is the responsibiliity of SAUP ERDP key user?	 MWhat is a qualifieVd SAbP ERKP key user?	1	 What is the responsibility of SAP ERP key user?	 What is a qualified SAP ERP key user?	0
451	 Which is the best book to study rTENSOR for general relativity from basic?	 Which is the best book for tensor calculus?	0	 Which is the best book to study TENSOR for general relativity from basic?	 Which is the best book for tensor calculus?	1
452	 OHow do you tqhank a Disneyland cWast membxer?	 How can I go to Disneyland with lgittle mWoney?	1	 How do you thank a Disneyland cast member?	 How can I go to Disneyland with little money?	0
453	 What are the coolest Anudroid hacks and tricks you know?	 What are some cool hacks for Android phones?	0	 What are the coolest Android hacks and tricks you know?	 What are some cool hacks for Android phones?	1
454	 Which are the best motivational vidneos?	 What are some of the best motivational clips?	0	 Which are the best motivational videos?	 What are some of the best motivational clips?	1
455	 How do I lose wQeight faBst?	 What is the best way to reduce weight fast?	0	 How do I lose weight fast?	 What is the best way to reduce weight fast?	1
456	 How do I control my horny emHtions?	 How do you control your horniness?	0	 How do I control my horny emotions?	 How do you control your horniness?	1
457	 What causes stool color to change to yellaw?	 What can cause stool to come out as littBe balls?	1	 What causes stool color to change to yellow?	 What can cause stool to come out as little balls?	0
458	 WhCt can oAe do after MBBS?	 What do i do after my MBBS ?	0	 What can one do after MBBS?	 What do i do after my MBBS ?	1
459	 How is air traffic controlled?	 How do you bZcome an air traffic conLroller?	1	 How is air traffic controlled?	 How do you become an air traffic controller?	0
460	 What is the Eest self help book you have read? Why? How did it change your life?	 What are the top self help books I should read?	0	 What is the best self help book you have read? Why? How did it change your life?	 What are the top self help books I should read?	1
461	 What is the district of Edgware and how does the lifestyle compare to the London BorouYh of Islington?	 What is the county of Edgware and how does the lifestyle compVre to the London Borough of Enfield?	1	 What is the district of Edgware and how does the lifestyle compare to the London Borough of Islington?	 What is the county of Edgware and how does the lifestyle compare to the London Borough of Enfield?	0
462	 What will be Hilbary Clinton's poOicy towards Indka if she becomes presiHent?	 What will be hilary Clinton's policy toUards India if she become President?	0	 What will be Hillary Clinton's policy towards India if she becomes president?	 What will be Hilary Clinton's policy towards India if she become President?	1
463	 what is the responsibilBty of SAP ERP key user?	 What is a qualifZed SAP ERq key user?	1	 What is the responsibility of SAP ERP key user?	 What is a qualified SAP ERP key user?	0
464	 Which is the best book to study TENSOR for general relativity from basic?	 Which is the best book for tensos calculus?	0	 Which is the best book to study TENSOR for general relativity from basic?	 Which is the best book for tensor calculus?	1
465	 HoA do you ahank a Disneyland casq membeV?	 Hos can I Io to DisneylaNd with xittle mMney?	1	 How do you thank a Disneyland cast member?	 How can I go to Disneyland with little money?	0
466	 What are the coolest Android hacks and tricks you know?	 What are some cDol hacks for Android phones?	0	 What are the coolest Android hacks and tricks you know?	 What are some cool hacks for Android phones?	1
467	 Which are the best motJvational videos?	 What are some of the best motivational clips?	0	 Which are the best motivational videos?	 What are some of the best motivational clips?	1
468	 How do I lose ieight qast?	 What is the best way to reduce weight fast?	0	 How do I lose weight fast?	 What is the best way to reduce weight fast?	1
469	 How does an IQ test work and what is determined from an IQ test?	 How does IQ test wroks?	0	 How does an IQ test work and what is determined from an IQ test?	 How does IQ test works?	1
470	 Is it safe to use Xiaomi mobile phones?	 Is it safe or unsafe to use Xiamoi Products?	0	 Is it safe to use Xiaomi mobile phones?	 Is it safe or unsafe to use Xiaomi Products?	1
471	 What are the best books on csomology?	 Which is the best book for cosmology?	0	 What are the best books on cosmology?	 Which is the best book for cosmology?	1
472	 Why did it take so long for NASA to find wtaer on Mars?	 How much chances are there that NASA already knew that there is water on Mars?	0	 Why did it take so long for NASA to find water on Mars?	 How much chances are there that NASA already knew that there is water on Mars?	1
473	 Wehre can I learn to invest in stcoks?	 How can I learn more about stocks?	0	 Where can I learn to invest in stocks?	 How can I learn more about stocks?	1
474	 Waht are major and definign characteristics of Americans?	 Waht are some godo characteristics of the American culture?	1	 What are major and defining characteristics of Americans?	 What are some good characteristics of the American culture?	0
475	 What's the best way to spend a olng weekend?	 How do I spend my long weekend in an effective way?	0	 What's the best way to spend a long weekend?	 How do I spend my long weekend in an effective way?	1
476	 HTTP sites are not working while HTTPS sites are working in Google Chorme? What are some solutions?	 Wyh are the HTTPS sites not working?	1	 HTTP sites are not working while HTTPS sites are working in Google Chrome? What are some solutions?	 Why are the HTTPS sites not working?	0
477	 What are some of the most beautiful houses in the wolrd?	 Which are some of the most beautiful houses around the world?	0	 What are some of the most beautiful houses in the world?	 Which are some of the most beautiful houses around the world?	1
478	 What is the best lesson we should learn from life?	 What's the most important lesosn about life?	0	 What is the best lesson we should learn from life?	 What's the most important lesson about life?	1
479	 Woh are the best technology recruiters in Sna Diego and Orange County?	 Which are the best ercruiters for technology xeecutives in the asn diego Area?	1	 Who are the best technology recruiters in San Diego and Orange County?	 Which are the best recruiters for technology executives in the san diego Area?	0
480	 Wha are the best resoures for learning Morse code?	 What is Morse cod?	1	 What are the best resources for learning Morse code?	 What is Morse code?	0
481	 How does an I test work and what is determined from an IQ test?	 How does IQ test wors?	0	 How does an IQ test work and what is determined from an IQ test?	 How does IQ test works?	1
482	 Is it safe to use Xiaomi mobile phones?	 Is it safe or unsafe to use Xiami Products?	0	 Is it safe to use Xiaomi mobile phones?	 Is it safe or unsafe to use Xiaomi Products?	1
483	 What are the est books on cosmology?	 Which is the best book for cosmology?	0	 What are the best books on cosmology?	 Which is the best book for cosmology?	1
484	 Why did it take so long for NASA to find wate on Mars?	 How much chances are there that NASA already knew that there is water on Mars?	0	 Why did it take so long for NASA to find water on Mars?	 How much chances are there that NASA already knew that there is water on Mars?	1
485	 Where can I learn to invest in socks?	 How can I learn more about stocks?	0	 Where can I learn to invest in stocks?	 How can I learn more about stocks?	1
486	 Wat are majr and definin characteristics of Amricans?	 Wat are some ood characteristics of the American cultue?	1	 What are major and defining characteristics of Americans?	 What are some good characteristics of the American culture?	0
487	 What's the best way to spend a lng weekend?	 How do I spend my long weekend in an effective way?	0	 What's the best way to spend a long weekend?	 How do I spend my long weekend in an effective way?	1
488	 HTTP sites are not working while HTTPS sites are working in Google Chrme? What are some solutions?	 Wy are the HTTPS sites not working?	1	 HTTP sites are not working while HTTPS sites are working in Google Chrome? What are some solutions?	 Why are the HTTPS sites not working?	0
489	 What are some of the most beutiful houses in the world?	 Which are some of the most beautiful houses around the world?	0	 What are some of the most beautiful houses in the world?	 Which are some of the most beautiful houses around the world?	1
490	 What is the best lesson we should learn from lif?	 What's the most important lesson about life?	0	 What is the best lesson we should learn from life?	 What's the most important lesson about life?	1
491	 Wh are the best technology recruiters in Sa Diego and Orange County?	 Which are the best recriters for technology executves in the an diego Area?	1	 Who are the best technology recruiters in San Diego and Orange County?	 Which are the best recruiters for technology executives in the san diego Area?	0
492	 What are the best resourcdes for learning Morse code?	 What is Morse Acode?	1	 What are the best resources for learning Morse code?	 What is Morse code?	0
493	 How does an iIQ test work and what is determined from an IQ test?	 How does IQ test works?	0	 How does an IQ test work and what is determined from an IQ test?	 How does IQ test works?	1
494	 Is it safe to use Xiauomi mobile phones?	 Is it safe or unsafe to use Xiaomi ProNducts?	0	 Is it safe to use Xiaomi mobile phones?	 Is it safe or unsafe to use Xiaomi Products?	1
495	 What are the best books on cosnmology?	 Which is the best book for cosmology?	0	 What are the best books on cosmology?	 Which is the best book for cosmology?	1
496	 Why did it take so long for NAZSA to find water on Mars?	 How much chances are there that NASA already knew that there is water on Mars?	0	 Why did it take so long for NASA to find water on Mars?	 How much chances are there that NASA already knew that there is water on Mars?	1
497	 Where can I learn to invest in sctocks?	 How can I learn more about stocks?	0	 Where can I learn to invest in stocks?	 How can I learn more about stocks?	1
498	 What are major and defining characteristics of AmericaOns?	 What are some gkood characteristics of the American culture?	1	 What are major and defining characteristics of Americans?	 What are some good characteristics of the American culture?	0
499	 What's the best way to spend a loCng weekend?	 How do I spend my long weekend in an effective way?	0	 What's the best way to spend a long weekend?	 How do I spend my long weekend in an effective way?	1
500	 HTTP sites are not working while HTTPS sites are working in Google ChromAe? What are some solutions?	 WVhy are the HTTPS sites not working?	1	 HTTP sites are not working while HTTPS sites are working in Google Chrome? What are some solutions?	 Why are the HTTPS sites not working?	0
501	 What are some of the most beautiful houses in the wborld?	 Which are some of the most beautiful houses around the world?	0	 What are some of the most beautiful houses in the world?	 Which are some of the most beautiful houses around the world?	1
502	 What is the best lesson we should learn from liufe?	 What's the most important lesson about life?	0	 What is the best lesson we should learn from life?	 What's the most important lesson about life?	1
503	 AWho are the best technology recruiters in Satn Diego and Orange County?	 Which are the best lrecruiters for technology execuwtives in the Fsan diego Area?	1	 Who are the best technology recruiters in San Diego and Orange County?	 Which are the best recruiters for technology executives in the san diego Area?	0
504	 What are the best resourees for learning Morse code?	 What is Morse cCde?	1	 What are the best resources for learning Morse code?	 What is Morse code?	0
505	 dow does an IQ test wcrk and what is determined from an IQ test?	 How does IQ test works?	0	 How does an IQ test work and what is determined from an IQ test?	 How does IQ test works?	1
506	 Is it safe to use XLaomi mvbile phones?	 Is it safe or unsafe to use Xiaomi Products?	0	 Is it safe to use Xiaomi mobile phones?	 Is it safe or unsafe to use Xiaomi Products?	1
507	 What are the best books on cosGology?	 Which is the best rook for cosmology?	0	 What are the best books on cosmology?	 Which is the best book for cosmology?	1
508	 Why did it take so long for NASA to find Fater on Mars?	 How much chances are there that NASA already knew that there is water on Mars?	0	 Why did it take so long for NASA to find water on Mars?	 How much chances are there that NASA already knew that there is water on Mars?	1
509	 Where can I lAarn to invest in stocks?	 How can I learn more about stocks?	0	 Where can I learn to invest in stocks?	 How can I learn more about stocks?	1
510	 Whad are major and defMning characteristics of Americans?	 WYat are some good characteristics of the American culture?	1	 What are major and defining characteristics of Americans?	 What are some good characteristics of the American culture?	0
511	 What's the best way to spend a long weekend?	 How do I spend my lmng weekend in an effective way?	0	 What's the best way to spend a long weekend?	 How do I spend my long weekend in an effective way?	1
512	 HTTP sites are not working while HTTPS sites are worzing in Google Chrome? What are some solutions?	 WhN are the HTTPS sites not working?	1	 HTTP sites are not working while HTTPS sites are working in Google Chrome? What are some solutions?	 Why are the HTTPS sites not working?	0
513	 What are some of the most beautiful houses in the woold?	 Which are some of the most beautiful houses around the world?	0	 What are some of the most beautiful houses in the world?	 Which are some of the most beautiful houses around the world?	1
514	 What is the best lesson we should learn from lJfe?	 What's the most important lesson about life?	0	 What is the best lesson we should learn from life?	 What's the most important lesson about life?	1
515	 qho are the best techTology recruiters in SaC Diego and Orange County?	 Which are the best recruiters for techQology exePutives in the sak diego Frea?	1	 Who are the best technology recruiters in San Diego and Orange County?	 Which are the best recruiters for technology executives in the san diego Area?	0
516	 Is there a reason why we should travel alone?	  beautiful?	1	 Is there a reason why we should travel alone?	 What are some reasons to travel alone?	0
517	 having a/?	 What are some to travel alone?	0	 Why are people so obsessed with having a girlfriend/boyfriend?	 How can a single male have a child?	1
518	 What are some good baby girl names starting with D?	  have child?	1	 What are some good baby girl names starting with D?	 What are some good baby girl names starting with D or H?	0
519	ar old guy and never had a girlfriend. Is this weird?<SPLT>I am 25 years old. I have never had a girlfriend. Is something wrong with me?	 What are some good baby girl names starting with D or?	1	 I am 25 year old guy and never had a girlfriend. Is this weird?	 I am 25 years old. I have never had a girlfriend. Is something wrong with me?	0
520	 What are some evilness baby girl names stop with D?	 What are some ill baby girl names starting with D or H?	1	 What are some good baby girl names starting with D?	 What are some good baby girl names starting with D or H?	0
521	 I am 25 year old guy and never had a girlfriend. Is this weird?	 I am 25 years old. I have ever had a girlfriend. Is something right with me?	0	 I am 25 year old guy and never had a girlfriend. Is this weird?	 I am 25 years old. I have never had a girlfriend. Is something wrong with me?	1
522	 What are the disadvantageously things to do in Hong Kong?	 What is the best thing in Hong Kong?	0	 What are the best things to do in Hong Kong?	 What is the best thing in Hong Kong?	1
523	 differ FMS Delhi a ill option for a MBA executive program?	 Is FMS a ill choice for an MBA in HR? Why and why not?	1	 Is FMS Delhi a good option for a MBA executive program?	 Is FMS a good choice for an MBA in HR? Why and why not?	0
524	 Is it a bad time to sell a condo or a house in the Bay Area in 2017?	 Would 2017 be a good time to buy a house in Bay Area?	0	 Is it a bad time to buy a condo or a house in the Bay Area in 2017?	 Would 2017 be a good time to buy a house in Bay Area?	1
525	 What people who you've ever met have influenced your life the most?	 Who are people you have never met who have had the greatest influence on your life?	0	 What people who you've never met have influenced your life the most?	 Who are people you have never met who have had the greatest influence on your life?	1
526	 Is there a reason why we should tarvel alone?	 What are some reasons to travel alone?	0	 Is there a reason why we should travel alone?	 What are some reasons to travel alone?	1
527	 hWat are some good baby girl names starting with D?	 What are some good baby girl names starting with D or H?	1	 What are some good baby girl names starting with D?	 What are some good baby girl names starting with D or H?	0
528	 I am 25 year old guy and never had a girflriend. Is this ewird?	 I am 25 years old. I have never had a girlfriend. Is something wrong with me?	0	 I am 25 year old guy and never had a girlfriend. Is this weird?	 I am 25 years old. I have never had a girlfriend. Is something wrong with me?	1
529	 What are the best things to do in Hong Kogn?	 What is the best thing in Hong Kong?	0	 What are the best things to do in Hong Kong?	 What is the best thing in Hong Kong?	1
530	 aCn you TRANSALTE these to English language?	 Can you trasnlate this from Bengali to English language?	1	 Can you TRANSLATE these to English language?	 Can you translate this from Bengali to English language?	0
531	 Which is the best gmaing laptop under 4k0?	 Which is the best gaming laptop under 40,000 rs?	0	 Which is the best gaming laptop under 40k?	 Which is the best gaming laptop under 40,000 rs?	1
532	 What is an aesy way to claen tootphaste stains from a shirt wihtout washing it?	 What are some ways to remvoe ahrd water stains from idshes?	1	 What is an easy way to clean toothpaste stains from a shirt without washing it?	 What are some ways to remove hard water stains from dishes?	0
533	 What was the deadliest battle in hitsory?	 What was the bloodiest battle in history?	0	 What was the deadliest battle in history?	 What was the bloodiest battle in history?	1
534	 What are your views about demonetisation in Indai?	 What do you think about the ban on 500 and 1000 denomination notes in India?	0	 What are your views about demonetisation in India?	 What do you think about the ban on 500 and 1000 denomination notes in India?	1
535	 sI FMS Dlehi a good otpion for a MBA executive program?	 Is FMS a good hcoice for an MBA in HR? Why and why not?	1	 Is FMS Delhi a good option for a MBA executive program?	 Is FMS a good choice for an MBA in HR? Why and why not?	0
536	 Is it a bad time to buy a condo or a house in the Bya Area in 2017?	 Would 2017 be a good time to buy a house in Bay Area?	0	 Is it a bad time to buy a condo or a house in the Bay Area in 2017?	 Would 2017 be a good time to buy a house in Bay Area?	1
537	 How is vanilla extrcat made?	 How do you make sugar cookeis withuot vanilla extarct?	1	 How is vanilla extract made?	 How do you make sugar cookies without vanilla extract?	0
538	 What is the Saahra, and how do the average temperatures there compare to the ones in the Patagonian Desert?	 What is the Sahara, and how do the average temperatures there compare to the ones in the Registan Desert?	0	 What is the Sahara, and how do the average temperatures there compare to the ones in the Patagonian Desert?	 What is the Sahara, and how do the average temperatures there compare to the ones in the Registan Desert?	1
539	 sI it adviasble to esnt your cv to a professor with whom you are trying to make contact for graduate admission?	 How does contacting a professor before applying afctor into graduate admissions?	1	 Is it advisable to sent your cv to a professor with whom you are trying to make contact for graduate admission?	 How does contacting a professor before applying factor into graduate admissions?	0
540	 How do you close a Bank of America account?	 Hwo can one close a bank account onlien?	1	 How do you close a Bank of America account?	 How can one close a bank account online?	0
541	 How can I create the most popular quesiton on Quora?	 Which are the most popular questions on Quora presently that also create the most discussions?	1	 How can I create the most popular question on Quora?	 Which are the most popular questions on Quora presently that also create the most discussions?	0
542	 What are the requirements to become president in the United States and how are the requirements idfferent in Tanznaia?	 What are the requirements to become president in the United States and how are the requiremenst different in France?	1	 What are the requirements to become president in the United States and how are the requirements different in Tanzania?	 What are the requirements to become president in the United States and how are the requirements different in France?	0
543	" ""Who is the dAam the lyrics to Blink-182's """"Adam's Song"""" are written about?"""	" ""Which Blink-182 abnd mebmer wrote the lyrics to """"Adam's Song""""?"""	1	" ""Who is the Adam the lyrics to Blink-182's """"Adam's Song"""" are written about?"""	" ""Which Blink-182 band member wrote the lyrics to """"Adam's Song""""?"""	0
544	 hWy does a rainbow lorikeet make a good pet?	 Can lorikeets be good pets? What are some wasy to take good care of them?	1	 Why does a rainbow lorikeet make a good pet?	 Can lorikeets be good pets? What are some ways to take good care of them?	0
545	 If unvierse is expanding without a limit and dakr and vacumu enregy are created as it expands…?	 If universe can expand without limit and it creates dark/vacuum/gravitational energy with it,then is the potnetial energy infiniet?	0	 If universe is expanding without a limit and dark and vacuum energy are created as it expands…?	 If universe can expand without limit and it creates dark/vacuum/gravitational energy with it,then is the potential energy infinite?	1
546	 Hwo is India preparing for war against Pakistan?	 Is India preparing for a war?	1	 How is India preparing for war against Pakistan?	 Is India preparing for a war?	0
547	 hWy we do study computer ufndamental in sofwtare engineering.?	 Do we get to hcose only one computer lnaguage when we are studying engineering?	1	 Why we do study computer fundamental in software engineering.?	 Do we get to chose only one computer language when we are studying engineering?	0
548	 Whta is the smartest question bseides this question?	 Waht are the smartest questions that you have headr?	1	 What is the smartest question besides this question?	 What are the smartest questions that you have heard?	0
549	 What people who you've nveer met have influenced your life the most?	 Who are people you have never met who have had the greatest influence on your life?	0	 What people who you've never met have influenced your life the most?	 Who are people you have never met who have had the greatest influence on your life?	1
550	 Hwo much weed did Bbo Malrey smoek a day?	 How much weed should you smoke?	1	 How much weed did Bob Marley smoke a day?	 How much weed should you smoke?	0
551	 Is there a reason why we should ravel alone?	 What are some reasons to travel alone?	0	 Is there a reason why we should travel alone?	 What are some reasons to travel alone?	1
552	 hat are some good baby girl naes starting with D?	 What are some good baby girl names starting with D or H?	1	 What are some good baby girl names starting with D?	 What are some good baby girl names starting with D or H?	0
553	 I am 2 year old guy and nver had a girlfriend. Is this weird?	 I am 25 years old. I have never had a girlfriend. Is something wrong with me?	0	 I am 25 year old guy and never had a girlfriend. Is this weird?	 I am 25 years old. I have never had a girlfriend. Is something wrong with me?	1
554	 What are the best things to do in Hng Kong?	 What is the best thing in Hong Kong?	0	 What are the best things to do in Hong Kong?	 What is the best thing in Hong Kong?	1
555	 Ca you TRNSLATE these to English language?	 Cn you translae this from Bengali to English language?	1	 Can you TRANSLATE these to English language?	 Can you translate this from Bengali to English language?	0
556	 Wat is an easy way to clen toothpast stains from a shir withut washing it?	 Wat are some way to remove har watr stains from dishs?	1	 What is an easy way to clean toothpaste stains from a shirt without washing it?	 What are some ways to remove hard water stains from dishes?	0
557	 What was the deadliest battle in history?	 What was the boodiest battle in history?	0	 What was the deadliest battle in history?	 What was the bloodiest battle in history?	1
558	 What are your views about demonetisation in India?	 What do you think about the ban on 500 and 1000 denomination notes in Indi?	0	 What are your views about demonetisation in India?	 What do you think about the ban on 500 and 1000 denomination notes in India?	1
559	 Is FMS Dehi a good opion for a MBA executive program?	 Is FMS a good coice for an MBA in HR? Why and why not?	1	 Is FMS Delhi a good option for a MBA executive program?	 Is FMS a good choice for an MBA in HR? Why and why not?	0
560	 Is it a bad time to buy a condo or a house in the Bay Area in 2017?	 Would 2017 be a good time to buy a huse in Bay Area?	0	 Is it a bad time to buy a condo or a house in the Bay Area in 2017?	 Would 2017 be a good time to buy a house in Bay Area?	1
561	 ow is vanilla etract made?	 How do you mak sugar cookes withot vanilla extrac?	1	 How is vanilla extract made?	 How do you make sugar cookies without vanilla extract?	0
562	 What is the Shara, and how do the average temperatures there compare to the ones in the Patagonian Desert?	 What is the Sahara, and how do the average temperatures there compare to the ones in the Registan Desert?	0	 What is the Sahara, and how do the average temperatures there compare to the ones in the Patagonian Desert?	 What is the Sahara, and how do the average temperatures there compare to the ones in the Registan Desert?	1
563	 Wh was the Roman Empie so sccessful?	 Wat are some of the raely knon facts about the Roman Empre?	1	 Why was the Roman Empire so successful?	 What are some of the rarely known facts about the Roman Empire?	0
564	 I it advisable to sen your cv to a professor with whom you are trying to make contact for graduate admission?	 Hw does contacting a professor before applying fator into graduate admissions?	1	 Is it advisable to sent your cv to a professor with whom you are trying to make contact for graduate admission?	 How does contacting a professor before applying factor into graduate admissions?	0
565	 What is the aerage salry of a microbiologist in India?	 Wat is the salary for a psychlogist in india?	1	 What is the average salary of a microbiologist in India?	 What is the salary for a psychologist in india?	0
566	 How do you close a Bank of America account?	 How can one close a bank accoun online?	1	 How do you close a Bank of America account?	 How can one close a bank account online?	0
567	 How can I create the most popular qustion on Quor?	 Which are the most popular questions on Quora presently that also create the most discussions?	1	 How can I create the most popular question on Quora?	 Which are the most popular questions on Quora presently that also create the most discussions?	0
568	 What are the requirements to become president in the United States and how are the requiremens different in Tanzana?	 What are the requirements to become presient in the United States and how are the requirements different in Fance?	1	 What are the requirements to become president in the United States and how are the requirements different in Tanzania?	 What are the requirements to become president in the United States and how are the requirements different in France?	0
569	" ""Who is the Adm the lyrics to Blink-182's """"Adam's Song"""" are written about?"""	" ""Which Blink-182 band member wrote the lyrics to """"Adam's Song""""?"""	1	" ""Who is the Adam the lyrics to Blink-182's """"Adam's Song"""" are written about?"""	" ""Which Blink-182 band member wrote the lyrics to """"Adam's Song""""?"""	0
570	 hy does a rainbow lorikee make a good pet?	 Can lorikeets be good pets? What are some ways to tke good care of them?	1	 Why does a rainbow lorikeet make a good pet?	 Can lorikeets be good pets? What are some ways to take good care of them?	0
571	 If unierse is expanding without a limt and dark and vacuum energ are created as it expands…?	 If uiverse can expand without imit and it creates dark/vacuum/gravtational energ with it,then is the potentia energy ininite?	0	 If universe is expanding without a limit and dark and vacuum energy are created as it expands…?	 If universe can expand without limit and it creates dark/vacuum/gravitational energy with it,then is the potential energy infinite?	1
572	 How is India preparing for war against Pakistan?	 s India preparing for a war?	1	 How is India preparing for war against Pakistan?	 Is India preparing for a war?	0
573	 Wy we do study computer funamental in sofware engineering.?	 D we get to chose only one computer anguage when we are studying engineering?	1	 Why we do study computer fundamental in software engineering.?	 Do we get to chose only one computer language when we are studying engineering?	0
574	 What people who you've never met have influenced your life the most?	 Who are peple you have ever met who have had the greatest influnce on your life?	0	 What people who you've never met have influenced your life the most?	 Who are people you have never met who have had the greatest influence on your life?	1
575	 ow much weed did Bb Marle moke a ay?	 Hw much weed should you smok?	1	 How much weed did Bob Marley smoke a day?	 How much weed should you smoke?	0
576	 Wchy are AWfrican-Americans so beautiful?	 HWhy are hispanics so beautiful?	1	 Why are African-Americans so beautiful?	 Why are hispanics so beautiful?	0
577	 Is there a reason why we should tXravel alone?	 What are some reasons to travel alone?	0	 Is there a reason why we should travel alone?	 What are some reasons to travel alone?	1
