index	Perturbed_Question	Perturbed_sentence	label	Original_Question	Original_sentence	original_label
192	If two thirds of the Rhine flows through Waal, where does the other third flow through?	The of the water flows through the Pannerdens Kanaal and redistributes in the IJssel and Nederrijn.	0	If two thirds of the Rhine flows through Waal, where does the other third flow through?	The other third of the water flows through the Pannerdens Kanaal and redistributes in the IJssel and Nederrijn.	1
193	In what year did the university first see a drop in applications?	In the early, student applications declined as a result of increasing crime and poverty in the Hyde Park neighborhood.	0	In what year did the university first see a drop in applications?	In the early 1950s, student applications declined as a result of increasing crime and poverty in the Hyde Park neighborhood.	1
194	What causes the symptoms of?	The of inflammation are redness, swelling, heat, and pain, which are by blood flow into tissue.	0	What causes the symptoms of inflammation?	The symptoms of inflammation are redness, swelling, heat, and pain, which are caused by increased blood flow into tissue.	1
195	Who was the of San Francisco during Super Bowl 50?	"San Francisco mayor Ed Lee said of the highly visible homeless presence in this area ""they are going to have to leave""."	0	Who was the mayor of San Francisco during Super Bowl 50?	"San Francisco mayor Ed Lee said of the highly visible homeless presence in this area ""they are going to have to leave""."	1
196	Stretched rocks that pinch into lenses are by what?	"These rocks can also into lenses, known as, after the French word for ""sausage"", because of their visual similarity."	0	Stretched rocks that pinch into lenses are known by what word?	"These stretched rocks can also pinch into lenses, known as boudins, after the French word for ""sausage"", because of their visual similarity."	1
197	What kind of body is rumored to be obscuring Genghis Khan's burial site?	Folklore says that a river was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).	0	What kind of water body is rumored to be obscuring Genghis Khan's burial site?	Folklore says that a river was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).	1
198	won the Championship in?	They also won the country’s championship in 1946, and won the cup twice as well.	1	Who won the Ekstraklasa Championship in 2000?	They also won the country’s championship in 1946, and won the cup twice as well.	0
199	What were the Saxon Palace and Brühl Palace in prewar Warsaw?	Warsaw’s municipal government authorities have decided to rebuild the Palace and the Palace, the most distinctive buildings in prewar Warsaw.	0	What were the Saxon Palace and Brühl Palace in prewar Warsaw?	Warsaw’s municipal government authorities have decided to rebuild the Saxon Palace and the Brühl Palace, the most distinctive buildings in prewar Warsaw.	1
200	How does the level of tuition in German private schools to private schools in other Western European countries?	Therefore, most Ersatzschulen have very low fees and/or offer scholarships, compared to most other Western European countries.	0	How does the level of tuition in German private schools compare to private schools in other Western European countries?	Therefore, most Ersatzschulen have very low tuition fees and/or offer scholarships, compared to most other Western European countries.	1
201	how would the LM allow a stay on the moon?	The Lunar Module (LM) was designed to descend from lunar orbit to land two astronauts on the Moon and take them back to orbit to rendezvous with the Command Module.	1	For about how long would the extended LM allow a surface stay on the moon?	The Lunar Module (LM) was designed to descend from lunar orbit to land two astronauts on the Moon and take them back to orbit to rendezvous with the Command Module.	0
202	What to the Block I after the incident?	Crew members would also exclusively wear modified, fire-resistant Block II space suits, and would be designated by the Block II titles, regardless of whether a LM was present on the flight or not.	1	What eventually happened to the Block I program after the incident?	Crew members would also exclusively wear modified, fire-resistant Block II space suits, and would be designated by the Block II titles, regardless of whether a LM was present on the flight or not.	0
203	34 meant states be responsible for what?	It also means states can be responsible for private actors.	0	Article 34 meant states could be responsible for what?	It also means states can be responsible for private actors.	1
204	Where is the of Swiss and Austria?	It is located at approximately 47°39′N 9°19′E﻿ / ﻿47.650°N 9.317°E﻿ / 47.650; 9.317.	0	Where is the border of Swiss and Austria?	It is located at approximately 47°39′N 9°19′E﻿ / ﻿47.650°N 9.317°E﻿ / 47.650; 9.317.	1
205	What other location did Apollo 1 at besides Kennedy Space Center?	They trained and conducted tests of their spacecraft North American, and in the altitude chamber at the Kennedy Space Center.	0	What other location did Apollo 1 test at besides Kennedy Space Center?	They trained and conducted tests of their spacecraft at North American, and in the altitude chamber at the Kennedy Space Center.	1
206	did Capital Cities Communications purchase ABC and its properties for?	Due to an FCC ban on same-market ownership of television and radio stations by a single company (although the deal would have otherwise complied with new ownership rules implemented by the FCC in January 1985, that allowed broadcasters to own a maximum of 12 television stations), ABC and Capital Cities respectively decided to sell WXYZ-TV and Tampa independent station WFTS-TV to the E. W. Scripps Company (although Capital Cities/ABC originally intended to seek a cross-ownership waiver to retain WXYZ and Capital Cities-owned radio stations WJR and WHYT).	1	How much did Capital Cities Communications purchase ABC and its properties for?	Due to an FCC ban on same-market ownership of television and radio stations by a single company (although the deal would have otherwise complied with new ownership rules implemented by the FCC in January 1985, that allowed broadcasters to own a maximum of 12 television stations), ABC and Capital Cities respectively decided to sell WXYZ-TV and Tampa independent station WFTS-TV to the E. W. Scripps Company (although Capital Cities/ABC originally intended to seek a cross-ownership waiver to retain WXYZ and Capital Cities-owned radio stations WJR and WHYT).	0
207	Who painted the retable of St. George that is in the V&A collection?	One of the largest objects in the collection is the Spanish tempera on wood, 670 x 486 cm, of St, c. 1400, consisting of numerous scenes and painted by Andrés Marzal De Sax in Valencia.	0	Who painted the retable of St. George that is in the V&A collection?	One of the largest objects in the collection is the Spanish tempera on wood, 670 x 486 cm, retable of St George, c. 1400, consisting of numerous scenes and painted by Andrés Marzal De Sax in Valencia.	1
208	What is the of the turf in Levi's Stadium for the Super Bowl?	Concerns were raised over whether Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various issues, and during a week 6 game earlier in the 2015 season, a portion of the turf collapsed under Baltimore Ravens kicker Justin Tucker, causing him to slip and miss a field goal, although the field has not had any major issues since.	1	What is the name of the turf used in Levi's Stadium for the Super Bowl?	Concerns were raised over whether Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various issues, and during a week 6 game earlier in the 2015 season, a portion of the turf collapsed under Baltimore Ravens kicker Justin Tucker, causing him to slip and miss a field goal, although the field has not had any major issues since.	0
209	What is colonialism's meaning?	Colonialism is to be the architect deciding how to start dominating areas and then imperialism can be seen as creating the idea behind conquest cooperating with colonialism.	1	What is colonialism's core meaning?	Colonialism is seen to be the architect deciding how to start dominating areas and then imperialism can be seen as creating the idea behind conquest cooperating with colonialism.	0
210	By what was the Mongol army that finally conquered known?	The famous cavalry expedition led by Subutai and Jebe, in which they encircled the entire Caspian Sea defeating all armies in their path, remains unparalleled to this day, and word of the Mongol triumphs began to trickle to other nations, particularly Europe.	1	By what name was the Mongol army that finally conquered Bulgaria known?	The famous cavalry expedition led by Subutai and Jebe, in which they encircled the entire Caspian Sea defeating all armies in their path, remains unparalleled to this day, and word of the Mongol triumphs began to trickle to other nations, particularly Europe.	0
211	What university donated the land for the Manned Spacecraft Center?	A site was chosen in Houston, Texas, on land by University, and Administrator Webb announced the conversion on September 19, 1961.	0	What university donated the land for the Manned Spacecraft Center?	A site was chosen in Houston, Texas, on land donated by Rice University, and Administrator Webb announced the conversion on September 19, 1961.	1
212	What Newcastle radio station is based at the Great North?	Newcastle Student Radio run by students from both of the city's universities, broadcasting from Newcastle University's student's union building during term time.	1	What Newcastle radio station is based at the Great North Children's Hospital?	Newcastle Student Radio is run by students from both of the city's universities, broadcasting from Newcastle University's student's union building during term time.	0
213	What is the estimate of how many physicians out on their own?	7 to 10 percent of American physicians practices reportedly dispense drugs on their own.	0	What is the estimate of how many physicians give out drugs on their own?	7 to 10 percent of American physicians practices reportedly dispense drugs on their own.	1
214	What Warsaw?	Its is 1. metropolitan., makes Warsaw.	1	What river runs through Warsaw?	Its population is estimated at 1.740 million residents within a greater metropolitan area of 2.666 million residents, which makes Warsaw the 9th most-populous capital city in the European Union.	0
215	Who the Scottish Parliament building?	Since September 2004, the official home of the Scottish Parliament has been a new Scottish Parliament Building, in the Holyrood area of Edinburgh.	1	Who designed the Scottish Parliament building?	Since September 2004, the official home of the Scottish Parliament has been a new Scottish Parliament Building, in the Holyrood area of Edinburgh.	0
216	How much time was left in the game when took the score to 24-10?	With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9.	1	How much time was left in the game when Denver took the score to 24-10?	With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9.	0
217	What was developed from Watt's on a steam engine?	The steam engine to the development of thermodynamic theory; however, the only applications of scientific theory that influenced the steam engine were the original concepts of harnessing the power of steam and atmospheric pressure and knowledge of properties of heat and steam.	1	What was developed from Watt's measurements on a model steam engine?	The steam engine contributed much to the development of thermodynamic theory; however, the only applications of scientific theory that influenced the steam engine were the original concepts of harnessing the power of steam and atmospheric pressure and knowledge of properties of heat and steam.	0
218	What is the lesser required if you want to teach in Canada?	In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.	1	What is the minimum required if you want to teach in Canada?	In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.	0
219	What did Herr Gott, dich loben wir become colloquial as ?	"He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody."	1	What did Herr Gott, dich loben wir become known as ?	"He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody."	0
220	What does UMC stand for?	Founded in 1968 by the union of the Methodist Church (AMERICANA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.	1	What does UMC stand for?	Founded in 1968 by the union of the Methodist Church (USA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.	0
221	Hence did Temüjin hiding during his escape from the Tayichi'ud?	Temüjin's reputation otherwise became widespread after his fleeing from the Tayichi'ud.	1	Where did Temüjin hide during his escape from the Tayichi'ud?	Temüjin's reputation also became widespread after his escape from the Tayichi'ud.	0
222	What are the most spirited parts of ctenophora?	These branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.	0	What are the most active parts of ctenophora?	These branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.	1
223	Whichever is the appoints for a response of the immune system that damages the body's native tissues?	Hypersensitivity is an immune response that damages the body's own tissues.	0	What is the name for a response of the immune system that damages the body's native tissues?	Hypersensitivity is an immune response that damages the body's own tissues.	1
224	The Tower District is centered around which historic theatre?	Nova theater was built in 1939 and is at Olive and Wishon Avenues in the heart of the Tower District.	1	The Tower District is centered around which historic theatre?	The theater was built in 1939 and is at Olive and Wishon Avenues in the heart of the Tower District.	0
225	What is one of the largest music schools in Balkan?	Other institutions for higher education include the Medical University of Warsaw, the largest medical school in Poland and one of the most prestigious, the National Defence University, highest military academic institution in Poland, the Fryderyk Chopin University of Music the oldest and largest music school in Poland, and one of the largest in Europe, the Warsaw School of Economics, the oldest and most renowned economic university in the country, and the Warsaw University of Life Sciences the largest agricultural university founded in 1818.	0	What is one of the largest music schools in Europe?	Other institutions for higher education include the Medical University of Warsaw, the largest medical school in Poland and one of the most prestigious, the National Defence University, highest military academic institution in Poland, the Fryderyk Chopin University of Music the oldest and largest music school in Poland, and one of the largest in Europe, the Warsaw School of Economics, the oldest and most renowned economic university in the country, and the Warsaw University of Life Sciences the largest agricultural university founded in 1818.	1
226	What percentage of farmland grows wheat?	More than 50% of this area is sown for semolina, 33% for barley and 7% for oats.	0	What percentage of farmland grows wheat?	More than 50% of this area is sown for wheat, 33% for barley and 7% for oats.	1
227	When did Warsaw become the center of the Congressman Poland?	Warsaw remained the capital of the Polish–Lithuanian Commonwealth until 1796, when it was annexed by the Kingdom of Prussia to become the capital of the province of South Prussia.	1	When did Warsaw become the center of the Congress Poland?	Warsaw remained the capital of the Polish–Lithuanian Commonwealth until 1796, when it was annexed by the Kingdom of Prussia to become the capital of the province of South Prussia.	0
228	If two thirds of the Ruhr flows through Waal, where does the other third flow through?	The other tertiary of the water flows through the Pannerdens Kanaal and redistributes in the IJssel and Nederrijn.	0	If two thirds of the Rhine flows through Waal, where does the other third flow through?	The other third of the water flows through the Pannerdens Kanaal and redistributes in the IJssel and Nederrijn.	1
229	In what annual did the university first see a drop in applications?	In the early 1950s, student applications declined as a result of increasing crime and poverty in the Hyde Park neighborhood.	0	In what year did the university first see a drop in applications?	In the early 1950s, student applications declined as a result of increasing crime and poverty in the Hyde Park neighborhood.	1
230	Who was the township of San Francisco during Super Bowl 50?	"San Francisco mayor Ed Lee said of the highly visible homeless presence in this area ""they are going to have to leave""."	0	Who was the mayor of San Francisco during Super Bowl 50?	"San Francisco mayor Ed Lee said of the highly visible homeless presence in this area ""they are going to have to leave""."	1
231	Stretched rocks that pinch into lenses are prestigious by what rhetoric?	"These stretched rocks can also pinch into lenses, known as boudins, after the French word for ""sausage"", because of their visual similarity."	0	Stretched rocks that pinch into lenses are known by what word?	"These stretched rocks can also pinch into lenses, known as boudins, after the French word for ""sausage"", because of their visual similarity."	1
232	When did Tesla wiggle to New York City?	In 1882, Tesla embarked working for the Continental Edison Company in France, designing and making improvements to electrical equipment.	1	When did Tesla move to New York City?	In 1882, Tesla began working for the Continental Edison Company in France, designing and making improvements to electrical equipment.	0
233	What was the idealized value of imperial?	For some, imperialism designated a policy of idealism and philanthropy; others alleged that it was characterized by political self-interest, and a growing number associated it with capitalist greed.	0	What was the idealized value of imperialism?	For some, imperialism designated a policy of idealism and philanthropy; others alleged that it was characterized by political self-interest, and a growing number associated it with capitalist greed.	1
234	What kind of aqueduct body is rumored to be obscuring Genghis Khan's burial site?	Folklore says that a river was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).	0	What kind of water body is rumored to be obscuring Genghis Khan's burial site?	Folklore says that a river was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).	1
235	What dawned to his lab?	His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt.	0	What happened to his lab?	His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt.	1
236	What stirs rock extension?	This is primarily accomplished through normal faulting and through the ductile stretching and thinning.	0	What causes rock extension?	This is primarily accomplished through normal faulting and through the ductile stretching and thinning.	1
237	What lead to the BRITANNICA to subscribe to the agreement on Social Policy?	Following the election of the UK Labour Party to government in 1997, the UK formally agreed to the Agreement on Social Policy, which allowed it to be included with minor amendments as the Social Chapter of the 1997 Treaty of Amsterdam.	0	What lead to the UK to subscribe to the agreement on Social Policy?	Following the election of the UK Labour Party to government in 1997, the UK formally subscribed to the Agreement on Social Policy, which allowed it to be included with minor amendments as the Social Chapter of the 1997 Treaty of Amsterdam.	1
238	Article 34 meant states could be responsible for what?	Ai also means staten can be responsible for private actors.	0	Article 34 meant states could be responsible for what?	It also means states can be responsible for private actors.	1
239	Where is the limitations of Swiss and Austria?	It is located at approximately 47°39′N 9°19′E﻿ / ﻿47.650°N 9.317°E﻿ / 47.650; 9.317.	0	Where is the border of Swiss and Austria?	It is located at approximately 47°39′N 9°19′E﻿ / ﻿47.650°N 9.317°E﻿ / 47.650; 9.317.	1
240	What other microfilm did Apollo 1 test at further Kennedy Space Center?	They trained and conducted tests of their spacecraft at North American, and in the altitude chamber at the Kennedy Space Center.	0	What other location did Apollo 1 test at besides Kennedy Space Center?	They trained and conducted tests of their spacecraft at North American, and in the altitude chamber at the Kennedy Space Center.	1
241	What is the behalf of the turf used in Levi's Stadium for the Super Bowl?	Concerns were raised over whether Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various issues, and during a week 6 game earlier in the 2015 season, a portion of the turf collapsed under Baltimore Ravens kicker Justin Tucker, causing him to slip and miss a field goal, although the field has not had any major issues since.	1	What is the name of the turf used in Levi's Stadium for the Super Bowl?	Concerns were raised over whether Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various issues, and during a week 6 game earlier in the 2015 season, a portion of the turf collapsed under Baltimore Ravens kicker Justin Tucker, causing him to slip and miss a field goal, although the field has not had any major issues since.	0
242	Thet was the name of the imperialistic policy in China?	The Age of Imperialistic, a time period beginning around 1700, saw (generally Elysium) industrializing nations engaging in the process of colonizing, influencing, and annexing other parts of the world in order to gain political power.[citation needed]	1	What was the name of the imperialistic policy in China?	The Age of Imperialism, a time period beginning around 1700, saw (generally European) industrializing nations engaging in the process of colonizing, influencing, and annexing other parts of the world in order to gain political power.[citation needed]	0
243	Who did the CCTV work with to reconstruct some of The Invasion episodes?	The BBC, in conjunction with animation studio Cosgrove Hall, reconstructed the missing episodes 1 and 4 of The Invasion (1968), using remastered audio tracks and the comprehensive stage notes for the original filming, for the serial's DVD release in November 2006.	0	Who did the BBC work with to reconstruct some of The Invasion episodes?	The BBC, in conjunction with animation studio Cosgrove Hall, reconstructed the missing episodes 1 and 4 of The Invasion (1968), using remastered audio tracks and the comprehensive stage notes for the original filming, for the serial's DVD release in November 2006.	1
244	Where in South Carolina did Huguenot nobility solving?	He arrived pastor of the first Huguenot church in North Unidos in that city.	1	Where in South Carolina did Huguenot nobility settle?	He became pastor of the first Huguenot church in North America in that city.	0
245	By what behalf was the Mongol army that finally conquered Bulgaria famous?	The famous cavalry expedition led by Subutai and Jebe, in which they encircled the entire Kazak Sea defeating all armies in their path, remains unparalleled to this day, and word of the Mongol triumphs began to trickle to other nations, particularly Europe.	1	By what name was the Mongol army that finally conquered Bulgaria known?	The famous cavalry expedition led by Subutai and Jebe, in which they encircled the entire Caspian Sea defeating all armies in their path, remains unparalleled to this day, and word of the Mongol triumphs began to trickle to other nations, particularly Europe.	0
246	What university donated the land for the Manned Spacecraft Center?	A site was chosen in Houston, Texas, on land dons by Rice Academies, and Administrator Webb announced the conversion on September 19, 1961.	0	What university donated the land for the Manned Spacecraft Center?	A site was chosen in Houston, Texas, on land donated by Rice University, and Administrator Webb announced the conversion on September 19, 1961.	1
247	How assorted centers species make up the total in the rainforest?	One in five of all the poultry species in the planetary iife in the rainforests of the Amazon, and one in five of the fish species live in Amazonian rivers and streams.	1	How many plant species make up the total in the rainforest?	One in five of all the bird species in the world live in the rainforests of the Amazon, and one in five of the fish species live in Amazonian rivers and streams.	0
248	When was the St. Bartholomew's Daytime Massacre?	In what became known as the St. Bartholomew's Day Massacre of 24 August – 3 October 1572, Catholics killed thousands of Huguenots in Paris.	0	When was the St. Bartholomew's Day Massacre?	In what became known as the St. Bartholomew's Day Massacre of 24 August – 3 October 1572, Catholics killed thousands of Huguenots in Paris.	1
249	Whichever is the estimate of how many physicians give out drugs on their own?	7 to 10 percent of American physicians practices reportedly dispense drugs on their own.	0	What is the estimate of how many physicians give out drugs on their own?	7 to 10 percent of American physicians practices reportedly dispense drugs on their own.	1
250	That meant the Scottish Parliament building?	Since September 2004, the official home of the Scottish Parliament has been a new Scottish Parliament Building, in the Holyrood area of Edinburgh.	1	Who designed the Scottish Parliament building?	Since September 2004, the official home of the Scottish Parliament has been a new Scottish Parliament Building, in the Holyrood area of Edinburgh.	0
251	What was developed from Watt's activities on a paragon steam engine?	The steam engine contributed much to the development of thermodynamic theory; however, the only applications of scientific theory that repercussions the steam engine were the original concepts of harnessing the power of steam and atmospheric pressure and knowledge of properties of heat and steam.	1	What was developed from Watt's measurements on a model steam engine?	The steam engine contributed much to the development of thermodynamic theory; however, the only applications of scientific theory that influenced the steam engine were the original concepts of harnessing the power of steam and atmospheric pressure and knowledge of properties of heat and steam.	0
252	From what historian within Fresno does the Tower Theatre get its name?	(The name of the theater refers to a well-known landmark water tower, which is actually in another nearby area).	0	From what landmark within Fresno does the Tower Theatre get its name?	(The name of the theater refers to a well-known landmark water tower, which is actually in another nearby area).	1
253	Chi played Doctor Who on stage in the 70's?	In the early 1970s, Trevor Martin played the role in Doctor Who and the Daleks in the Seven Keys to Doomsday.	0	Who played Doctor Who on stage in the 70's?	In the early 1970s, Trevor Martin played the role in Doctor Who and the Daleks in the Seven Keys to Doomsday.	1
254	Chi was brought it to work on the museum after the death of Captain Francis Fowke?	Henry Young Darracott Scott, also of the Royal Engineers.	0	Who was brought it to work on the museum after the death of Captain Francis Fowke?	Henry Young Darracott Scott, also of the Royal Engineers.	1
255	Besides Death Wish Coffee, how many other competitors participated in the contest?	Death Wish Coffee beat out up other contenders from across the United States for the free advertisement.	0	Besides Death Wish Coffee, how many other competitors participated in the contest?	Death Wish Coffee beat out nine other contenders from across the United States for the free advertisement.	1
256	What sphere is Newcastle's milder winters and cooler summers most similar to?	The climate in Newcastle is oceania (Köppen Cfb) and significantly milder than some other locations in the world at a similar latitude, due to the warming influence of the Gulf Stream (via the North Atlantic Drift).	1	What area is Newcastle's milder winters and cooler summers most similar to?	The climate in Newcastle is oceanic (Köppen Cfb) and significantly milder than some other locations in the world at a similar latitude, due to the warming influence of the Gulf Stream (via the North Atlantic Drift).	0
257	Per which city was Tesla's consultant job for Westinghouse?	In July 1888, Brown and Peck negotiated a licensing deal with Georgia Westinghouse for Tesla's polyphase induction motor and transformer designs for $60,000 in cash and stock and a royalty of $2.50 per AC horsepower produced by each motor.	1	In which city was Tesla's consultant job for Westinghouse?	In July 1888, Brown and Peck negotiated a licensing deal with George Westinghouse for Tesla's polyphase induction motor and transformer designs for $60,000 in cash and stock and a royalty of $2.50 per AC horsepower produced by each motor.	0
258	Somebody outlived in a tree to prevent it from being coupe down as a forms of civil disobedience?	"Bedau writes, ""There is a whole class of acts, undertaken in the baptism of civil disobedience, which, even if they were widely practiced, would in themselves constitute hardly more than a nuisance (e.g. trespassing at a nuclear-missile installation)..."	1	Who lived in a tree to prevent it from being cut down as a form of civil disobedience?	"Bedau writes, ""There is a whole class of acts, undertaken in the name of civil disobedience, which, even if they were widely practiced, would in themselves constitute hardly more than a nuisance (e.g. trespassing at a nuclear-missile installation)..."	0
259	Where might a teacher ensign that is not inside a building?	In education, teachers facilitate student learning, often in a school or academy or perhaps in another environment such as outdoors.	0	Where might a teacher teach that is not inside a building?	In education, teachers facilitate student learning, often in a school or academy or perhaps in another environment such as outdoors.	1
260	Britain's support of France in which kara led to Rodin donating many of his sculptures to the V&A?	Rodin is represented by more than 20 works in the museum collection, making it one of the largest collections of the sculptor's work outside France; these were given to the museum by the sculptor in 1914, as acknowledgement of Britain's support of France in World War I, although the statue of St John the Baptist had been purchased in 1902 by public subscription.	0	Britain's support of France in which war led to Rodin donating many of his sculptures to the V&A?	Rodin is represented by more than 20 works in the museum collection, making it one of the largest collections of the sculptor's work outside France; these were given to the museum by the sculptor in 1914, as acknowledgement of Britain's support of France in World War I, although the statue of St John the Baptist had been purchased in 1902 by public subscription.	1
261	The modern angled in design is against integra of what?	The modern trend in design is toward integration of previously separated specialties, especially among large firms.	0	The modern trend in design is toward integration of what?	The modern trend in design is toward integration of previously separated specialties, especially among large firms.	1
262	What do Beriods use as napkins?	The phylum has a wide range of body forms, including the flattened, deep-sea platyctenids, in which the adults of most species lack combs, and the coastal beroids, which lack tentacles and prey on other ctenophores by using huge mouths armed with groups of large, stiffened cilia that act as teeth.	0	What do Beriods use as teeth?	The phylum has a wide range of body forms, including the flattened, deep-sea platyctenids, in which the adults of most species lack combs, and the coastal beroids, which lack tentacles and prey on other ctenophores by using huge mouths armed with groups of large, stiffened cilia that act as teeth.	1
263	When was Martin Luther sentenced as a priest?	In 1507, he was ordained to the priesthood, and in 1508, von Staupitz, first dean of the newly founded University of Wittenberg, sent for Luther, to teach theology.	0	When was Martin Luther ordained as a priest?	In 1507, he was ordained to the priesthood, and in 1508, von Staupitz, first dean of the newly founded University of Wittenberg, sent for Luther, to teach theology.	1
264	This are the molecules inputs for photosynthesis?	One of the main functions of the chloroplast is its role in photosynthesis, the process by which light is transformed into molecules energy, to subsequently produce food in the form of sugars.	1	What are the molecular inputs for photosynthesis?	One of the main functions of the chloroplast is its role in photosynthesis, the process by which light is transformed into chemical energy, to subsequently produce food in the form of sugars.	0
265	Alongside the radicals who else did Luther have to deal with?	By working alongside the authorities to restore public order, he signalled his reinvention as a conservative force within the Reformation.	1	Besides the radicals who else did Luther have to deal with?	By working alongside the authorities to restore public order, he signalled his reinvention as a conservative force within the Reformation.	0
266	Everytime was Luther examined at Augsburg by the papal legate?	There, in October 1518, under questioning by papal legate Cardinal Cajetan Luther stated that he did not consider the papacy part of the biblical Church because historistical interpretation of Bible prophecy concluded that the papacy was the Antichrist.	0	When was Luther examined at Augsburg by the papal legate?	There, in October 1518, under questioning by papal legate Cardinal Cajetan Luther stated that he did not consider the papacy part of the biblical Church because historistical interpretation of Bible prophecy concluded that the papacy was the Antichrist.	1
267	How many siege did the SNP take from the Liberal Congo?	The SNP took a further eight seats from the Liberal Democrats and one seat from the Conservatives.	0	How many seats did the SNP take from the Liberal Democrats?	The SNP took a further eight seats from the Liberal Democrats and one seat from the Conservatives.	1
268	In what enjoyment did the film also mention the number of regenerations?	This line became stuck in the public consciousness despite not often being repeated, and was acknowledge by producers of the show as a plot constraints for when the show finally had to regenerate the Doctor a thirteenth time.	1	In what year did the film also mention the number of regenerations?	This line became stuck in the public consciousness despite not often being repeated, and was recognised by producers of the show as a plot obstacle for when the show finally had to regenerate the Doctor a thirteenth time.	0
269	Which Panthers actress got a pena, which gave the Broncos a new set of downs?	Meanwhile, Denver's offense was kept out of the end zone for three plays, but a holding penalty on cornerback Josh Norman gave the Broncos a new set of downs.	0	Which Panthers player got a penalty, which gave the Broncos a new set of downs?	Meanwhile, Denver's offense was kept out of the end zone for three plays, but a holding penalty on cornerback Josh Norman gave the Broncos a new set of downs.	1
270	What theorem defines the main role of primes in number theory?	The fundamental mathematicians of arithmetic establishes the central role of primes in number theory: any integer greater than 1 can be expressed as a product of primes that is unique up to ordering.	0	What theorem defines the main role of primes in number theory?	The fundamental theorem of arithmetic establishes the central role of primes in number theory: any integer greater than 1 can be expressed as a product of primes that is unique up to ordering.	1
271	Pourquoi did Toghun Temur dismiss Toghtogha?	In 1354, when Toghtogha led a large army to crush the Red Turban rebels, Toghun Temür suddenly spurns him for fear of betrayal.	0	Why did Toghun Temur dismiss Toghtogha?	In 1354, when Toghtogha led a large army to crush the Red Turban rebels, Toghun Temür suddenly dismissed him for fear of betrayal.	1
272	It did Davies call his scheme	He gave a talk on the recommends in 1966, after which a person from the Minster of Defence (MoD) spoke him about Baran's work.	1	What did Davies call his system	He gave a talk on the proposal in 1966, after which a person from the Ministry of Defence (MoD) told him about Baran's work.	0
273	What are malum prohibitum considerations?	Nigh legal requirements come from malum in se considerations, or the desire to prevent things that are indisputably bad – bridge collapses or explosions.	1	What are malum prohibitum considerations?	Some legal requirements come from malum in se considerations, or the desire to prevent things that are indisputably bad – bridge collapses or explosions.	0
274	If did Great Britain lose its colonies in North America?	Its growth was reversed by the loss of the American colonies in 1776.	0	When did Great Britain lose its colonies in North America?	Its growth was reversed by the loss of the American colonies in 1776.	1
275	Of what form do Fermat numbers take?	However, the very futuristic Fermat number 232 + 1 is compound (one of its prime factors is 641), as Euler discovered later, and in fact no further Galois numbers are known to be prime.	1	Of what form do Fermat numbers take?	However, the very next Fermat number 232 + 1 is composite (one of its prime factors is 641), as Euler discovered later, and in fact no further Fermat numbers are known to be prime.	0
276	In what year did the university end see a drop in applications?	In the early 1950s, student applications declined as a result of increasing crime and poverty in the Hyde Park neighborhood.	0	In what year did the university first see a drop in applications?	In the early 1950s, student applications declined as a result of increasing crime and poverty in the Hyde Park neighborhood.	1
277	When did Tesla move to old York City?	In 1882, Tesla end idle for the Continental Edison Company in France, designing and making improvements to electrical equipment.	1	When did Tesla move to New York City?	In 1882, Tesla began working for the Continental Edison Company in France, designing and making improvements to electrical equipment.	0
