index	Perturbed_Premise	Perturbed_Hypothesis	label	perturbed_label	Original_Premise	Original_Hypothesis
512	"Enter the realm of shopping malls, where everything you're looking for is available without moving your car."	Everything can be found inland a shopping mall.	1	0	"Enter the realm of shopping malls, where everything you're looking for is available without moving your car."	Everything can be found inside a shopping mall.
513	"As with other types of internal controls, this is a cycle of activity, not an exercise with a defined beginning and end."	"There is no clear beginning and end, it's a uninterrupted cycle."	0	1	"As with other types of internal controls, this is a cycle of activity, not an exercise with a defined beginning and end."	"There is no clear beginning and end, it's a continuous cycle."
514	Something may be better than nothing . If trials compared low-cost therapy to the complete AZT regimen it's likely that the new regimens will prove less effective.	Ai is better to have little than to have none at all.	0	2	Something may be better than nothing . If trials compared low-cost therapy to the complete AZT regimen it's likely that the new regimens will prove less effective.	It is better to have little than to have none at all.
515	I thought working on Liddy's campaign would be better than working on Bob's.	I thought I would adores working on Liddy's campaign the best.	1	0	I thought working on Liddy's campaign would be better than working on Bob's.	I thought I would like working on Liddy's campaign the best.
516	As of last week he charges $50 an hour minimum instead of $25 for the services of his yearling Northern Utah Legal Aid Foundation.	His charges vanished down.	2	0	As of last week he charges $50 an hour minimum instead of $25 for the services of his yearling Northern Utah Legal Aid Foundation.	His charges went down.
517	"Although all four categories of emissions are down substantially, they only achieve 50-75% of the proposed cap by 2007 (shown as the dotted horizontal line in each of the above figures)."	All of the emission categories experienced a downturn besides for one.	2	1	"Although all four categories of emissions are down substantially, they only achieve 50-75% of the proposed cap by 2007 (shown as the dotted horizontal line in each of the above figures)."	All of the emission categories experienced a downturn except for one.
518	"This testing of the marketplace may range from written or telephone contacts with knowledgeable federal and non-federal experts regarding similar or duplicate requirements and the results of any market test recently undertaken, to the more formal sources-sought announcements in pertinent publications (e.g."	This marketplace testing ranges from informal to formal soundings.	0	1	"This testing of the marketplace may range from written or telephone contacts with knowledgeable federal and non-federal experts regarding similar or duplicate requirements and the results of any market test recently undertaken, to the more formal sources-sought announcements in pertinent publications (e.g."	This marketplace testing ranges from informal to formal surveys.
519	"They made little effort, despite the Jesuit presence in Asia, to convert local inhabitants to Christianity or to expand their territory into the interior."	"The Jesuit brainchild that by converting the Asian people to Christianity, it would help them to expand their territory. "	2	0	"They made little effort, despite the Jesuit presence in Asia, to convert local inhabitants to Christianity or to expand their territory into the interior."	"The Jesuit thought that by converting the Asian people to Christianity, it would help them to expand their territory. "
520	Another White House murder mystery and a chance to bash the genre.	This is a nouveau angle at White House murder mystery.	1	0	Another White House murder mystery and a chance to bash the genre.	This is a new angle at White House murder mystery.
521	"Children, especially boys, are seen as a blessing and are treated with indulgence, fussed over by mothers and grandmothers."	Male children are considered to bring lak to the family.	1	0	"Children, especially boys, are seen as a blessing and are treated with indulgence, fussed over by mothers and grandmothers."	Male children are considered to bring luck to the family.
522	The two programs are currently housed in buildings about a block apart.	The two buildings are on versa sides of the city.	2	0	The two programs are currently housed in buildings about a block apart.	The two buildings are on opposite sides of the city.
523	well Dana it's been really interesting and i appreciate talking with you	"Thanks for calling me, Randy."	1	0	well Dana it's been really interesting and i appreciate talking with you	"Thanks for calling me, Dana."
524	"The long-sought, the mysterious, the elusive Jane Finn! "	Jane Finn is smoothly found but not often looked for.	2	0	"The long-sought, the mysterious, the elusive Jane Finn! "	Jane Finn is easily found but not often looked for.
525	" ""An egg has got to hatch,"" he said."	A girlfriend must hatch from an egg.	1	2	" ""An egg has got to hatch,"" he said."	A chick must hatch from an egg.
526	i wonder how they kept up with them though it seemed like the buffaloes were moving so fast i guess they graze though that wouldn't have been a problem	"It seemed awkward, keeping up with the buffaloes."	0	1	i wonder how they kept up with them though it seemed like the buffaloes were moving so fast i guess they graze though that wouldn't have been a problem	"It seemed difficult, keeping up with the buffaloes."
527	CHAPTER 6: HUMAN CAPITAL	Hombre have capital.	1	0	CHAPTER 6: HUMAN CAPITAL	Humans have capital.
528	and those are the people that you know can you rehabilitate them the some of the ones that are you know perpetual	You wonder if it's possible to rehabilitate those types of pueblo.	1	2	and those are the people that you know can you rehabilitate them the some of the ones that are you know perpetual	You wonder if it's possible to rehabilitate those types of people.
529	"What about the hole?"" They scanned the cliff-side narrowly."	Dont looked from the top of the cliff for the hole.	1	0	"What about the hole?"" They scanned the cliff-side narrowly."	They looked from the top of the cliff for the hole.
530	"Although this award will now be handed out annually, Bailey was selected for several years of his commitment."	The award which Bailey was selected for varying times in the past is going to handed out once a year.	0	1	"Although this award will now be handed out annually, Bailey was selected for several years of his commitment."	The award which Bailey was selected for several times in the past is going to handed out once a year.
531	and once we came here it was like gosh i just miss that because it really is exciting to be around people of different	It was riveting when we first came here. 	1	0	and once we came here it was like gosh i just miss that because it really is exciting to be around people of different	It was exciting when we first came here. 
532	"The Vice President and his representatives have asserted that GAO lacks the statutory authority to examine the activities of the NEPDG, recognizing only GAOas authority to audit its financial transactions."	The Vice President has spurned a few representing. 	2	1	"The Vice President and his representatives have asserted that GAO lacks the statutory authority to examine the activities of the NEPDG, recognizing only GAOas authority to audit its financial transactions."	The Vice President has sacked a few representatives. 
533	"China could never trump the warhead blizzard Washington would send in retaliation against any atomic attack, though the country would be loath to cede to U.S. missile defenses the deterrence afforded by its handfuls of warheads."	China had diverse more nuclear warhead than the US.	2	1	"China could never trump the warhead blizzard Washington would send in retaliation against any atomic attack, though the country would be loath to cede to U.S. missile defenses the deterrence afforded by its handfuls of warheads."	China had many more nuclear warhead than the US.
534	Boca da Corrida Encumeada (moderate; 5 hours): views of Curral das Freiras and the valley of Ribeiro do Poco.	This chapter is in the advanced category.	2	0	Boca da Corrida Encumeada (moderate; 5 hours): views of Curral das Freiras and the valley of Ribeiro do Poco.	This chapter is in the advance category.
535	"Beatrice and Grace made out OK legally, but some of us will never use their products again without thinking about Travolta losing his shirt in the name of those wasted-away little kids."	Beatrice and Grace ended up in imprisons at the end.	2	0	"Beatrice and Grace made out OK legally, but some of us will never use their products again without thinking about Travolta losing his shirt in the name of those wasted-away little kids."	Beatrice and Grace ended up in prison at the end.
536	"Sure enough, there was the chest, a fine old piece, all studded with brass nails, and full to overflowing with every imaginable type of garment. "	The thorax wasn't big enough to completely contain all of the garments.	0	2	"Sure enough, there was the chest, a fine old piece, all studded with brass nails, and full to overflowing with every imaginable type of garment. "	The chest wasn't big enough to completely contain all of the garments.
537	"17 ""Surely you are not thinking of refusing?"	You should pass up the prospect.	2	0	"17 ""Surely you are not thinking of refusing?"	You should pass up the opportunity.
538	GAO's Web site (www.gao.gov) contains abstracts and full-text files ofcurrent reports and testimony and an expanding archive of older products.	The GAO has received many petition due to lack of a website. 	2	0	GAO's Web site (www.gao.gov) contains abstracts and full-text files ofcurrent reports and testimony and an expanding archive of older products.	The GAO has received many complaints due to lack of a website. 
539	"High Crimes is painfully shoddy, even for a book rushed to press."	Books that are rushed to pisa are usually shoddy.	1	2	"High Crimes is painfully shoddy, even for a book rushed to press."	Books that are rushed to press are usually shoddy.
540	We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission-related outcomes.	Leading organizations want to be sure their processes are avail.	1	0	We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission-related outcomes.	Leading organizations want to be sure their processes are successful.
541	"For instance, when Clinton cited executive privilege as a reason for holding back a memo from FBI Director Louis Freeh criticizing his drug policies, Bob Dole asserted that the president had no basis for refusing to divulge it."	Bob Dole stated that Reagan had no right to privilege for actions not involving the presidency.	1	0	"For instance, when Clinton cited executive privilege as a reason for holding back a memo from FBI Director Louis Freeh criticizing his drug policies, Bob Dole asserted that the president had no basis for refusing to divulge it."	Bob Dole stated that Clinton had no right to privilege for actions not involving the presidency.
542	yeah yeah i think well i know it's true you see a lot of that you know rally behind the female she may lose but by golly we're going to make a statement here	It wouldn't countdown for anything if we rallied behind a female candidate.	2	0	yeah yeah i think well i know it's true you see a lot of that you know rally behind the female she may lose but by golly we're going to make a statement here	It wouldn't count for anything if we rallied behind a female candidate.
543	The Government does not sacrifice anything of value in exchange and the entity that forfeits the property does not receive anything of value.	The entity will receive befitting compensation for forfeited property.	2	0	The Government does not sacrifice anything of value in exchange and the entity that forfeits the property does not receive anything of value.	The entity will receive appropriate compensation for forfeited property.
544	"Some predict the jokes will wear thin soon, while others call it definitively depraved (Tom Shales, the Washington Post ). (Download a clip from South Park here.)"	Pisa has taken interest in South Park jokes.	1	2	"Some predict the jokes will wear thin soon, while others call it definitively depraved (Tom Shales, the Washington Post ). (Download a clip from South Park here.)"	Press has taken interest in South Park jokes.
545	The red moon made her skin glow.	Her skin was diminishing off because of the red moon.	2	0	The red moon made her skin glow.	Her skin was falling off because of the red moon.
546	The contrast between the landscape of the central highlands and the south coast could not be more marked.	The contrast between the highlands and the coast were conveniently marked.	0	2	The contrast between the landscape of the central highlands and the south coast could not be more marked.	The contrast between the highlands and the coast were easily marked.
547	yeah now do Indian are Indian foods kosher	Indian foods are oregano now too.	1	0	yeah now do Indian are Indian foods kosher	Indian foods are kosher now too.
548	"Most of Slate will not be published next week, the third and last of our traditional summer weeks off."	Slate won't be published much this wintertime.	1	2	"Most of Slate will not be published next week, the third and last of our traditional summer weeks off."	Slate won't be published much this summer.
549	"Tax records show Waters earned around $65,000 in 2000."	Waters' tax records show he earned a bruising ribbon last year.	2	0	"Tax records show Waters earned around $65,000 in 2000."	Waters' tax records show he earned a blue ribbon last year.
550	'I don't suppose you could forget I ever said that?'	I amal that you can remember that forever. 	2	0	'I don't suppose you could forget I ever said that?'	I hope that you can remember that forever. 
551	"This number represents the most reliable, albeit conservative, estimate of cases closed in 1999 by LSC grantees."	This is an realistic verified number of closed cases.	0	1	"This number represents the most reliable, albeit conservative, estimate of cases closed in 1999 by LSC grantees."	This is an actual verified number of closed cases.
552	"He saw Stark buried under the earth, screaming for a mercy or death that would never come and crawling out of the rock decades later."	Stark got buried in a big loch.	1	0	"He saw Stark buried under the earth, screaming for a mercy or death that would never come and crawling out of the rock decades later."	Stark got buried in a big hole.
553	yeah those yeah it was all bloodless and the good guys can get hit all day long and they have to shake it off they don't they don't you know get  epileptic fits or anything from getting hit on the head	That was the goriest most true to life thing I've ever seen and I think that's gonna excitedly affect me for a long time.	2	0	yeah those yeah it was all bloodless and the good guys can get hit all day long and they have to shake it off they don't they don't you know get  epileptic fits or anything from getting hit on the head	That was the goriest most true to life thing I've ever seen and I think that's gonna psychologically affect me for a long time.
554	"I'm sure he'll be back to work soon enough- it's only a leg wound, barely broken flesh."	My legs will never curing.	2	0	"I'm sure he'll be back to work soon enough- it's only a leg wound, barely broken flesh."	My legs will never heal.
555	Simpson through the tunnels of time.	Simpson in the future and the precedents.	1	0	Simpson through the tunnels of time.	Simpson in the future and the past.
556	"In the 19th century, when Kashmir was the most exotic hill-station of them all, the maharaja forbade the British to buy land there, so they then hit on the brilliant alternative of building luxuriously appointed houseboats moored on the lakes near Srinagar."	The maharaja allowed the Britannia to build houseboats on the lakes.	0	2	"In the 19th century, when Kashmir was the most exotic hill-station of them all, the maharaja forbade the British to buy land there, so they then hit on the brilliant alternative of building luxuriously appointed houseboats moored on the lakes near Srinagar."	The maharaja allowed the British to build houseboats on the lakes.
557	"'Don't worry,' he whispered."	He was shitless out.	2	0	"'Don't worry,' he whispered."	He was freaked out.
558	and uh we went through a time period that we had three Danes	"For four years, we had three Danes."	1	2	and uh we went through a time period that we had three Danes	"For three years, we had three Danes."
559	"The cuts will take the biggest bite out of Land of Lincoln, a network of eight offices and 40 lawyers who help clients in southern Illinois with problems like eviction, access to Social Security and obtaining orders of protection from abusive spouses."	"Land of Lincoln, a network of eight offices and 40 lawyers providing pro bono and reduced cost legal plants in Illinois, will be significantly impacted by the cuts."	1	2	"The cuts will take the biggest bite out of Land of Lincoln, a network of eight offices and 40 lawyers who help clients in southern Illinois with problems like eviction, access to Social Security and obtaining orders of protection from abusive spouses."	"Land of Lincoln, a network of eight offices and 40 lawyers providing pro bono and reduced cost legal services in Illinois, will be significantly impacted by the cuts."
560	"The islands' names refer to the different force winds hitting them, not their topography."	The way the islands are called is substantiated on the force of the wins they experiments.	0	2	"The islands' names refer to the different force winds hitting them, not their topography."	The way the islands are called is based on the force of the wins they experience.
561	He and his associates weren't operating at the level of metaphor.	His associates' jefe was operating at the level of the metaphor. 	2	0	He and his associates weren't operating at the level of metaphor.	His associates' boss was operating at the level of the metaphor. 
562	oh like if they say i i we just type it in like that	Change it before write it in.	2	0	oh like if they say i i we just type it in like that	Change it before typing it in.
563	"See you Aug. 12, or soon thereafter, we hope."	The person was disappeared to attend on August 12.	1	0	"See you Aug. 12, or soon thereafter, we hope."	The person was going to attend on August 12.
564	in each square	On the concourse outline.	2	0	in each square	On the square outline.
565	"Also, disappointing earnings reports from Intel and other blue-chip companies in the two weeks leading up to the crash caused investors to question the value of entire portfolios."	Gtx has had many disappointing earning reports.	1	2	"Also, disappointing earnings reports from Intel and other blue-chip companies in the two weeks leading up to the crash caused investors to question the value of entire portfolios."	Intel has had many disappointing earning reports.
566	but there's no uh inscriptions or or dates or anything else	There aren't any timetables on it?	1	2	but there's no uh inscriptions or or dates or anything else	There aren't any dates on it?
567	"When the two nations divided it up, France got 54 sq km (21 sq miles) and Holland agreed to take just 41 sq km (16 sq miles), but that included the important salt pond near the Dutch capital of Philipsburg."	The French ceased up with control over the salt pound.	2	0	"When the two nations divided it up, France got 54 sq km (21 sq miles) and Holland agreed to take just 41 sq km (16 sq miles), but that included the important salt pond near the Dutch capital of Philipsburg."	The French ended up with control over the salt pound.
568	and uh as a matter of fact he's a draft dodger	"He's never shirked from the written, even when it was most dire."	2	0	and uh as a matter of fact he's a draft dodger	"He's never shirked from the draft, even when it was most dire."
569	"If necessary to meeting the restrictions imposed in the preceding sentence, the Administrator shall reduce, pro rata, the basic Phase II allowance allocations for each unit subject to the requirements of section 414."	Section 414 helps higher grants allocations for each unit.	2	0	"If necessary to meeting the restrictions imposed in the preceding sentence, the Administrator shall reduce, pro rata, the basic Phase II allowance allocations for each unit subject to the requirements of section 414."	Section 414 helps higher allowance allocations for each unit.
570	"Maybe in that sense, the behavior of the Pippens and Iversons of the world is defensible."	Pippens and Iverson are nhl.	2	0	"Maybe in that sense, the behavior of the Pippens and Iversons of the world is defensible."	Pippens and Iverson are penguins.
571	no i i i don't i it completely beyond me i went to my under graduate uh education	"I can't remember, I did my wizardry education."	1	2	no i i i don't i it completely beyond me i went to my under graduate uh education	"I can't remember, I did my undergraduate education."
572	they ought to take all them little misdemeanor people let them go let them go	they should let go all non-violent rapists	1	2	they ought to take all them little misdemeanor people let them go let them go	they should let go all non-violent offenders
573	"The village is tiny and a total contrast to the bustle of the Trenchtown ghetto in Kingston, where he lived as a recording superstar."	"He lived in Exeter, but he came from a tiny village."	1	0	"The village is tiny and a total contrast to the bustle of the Trenchtown ghetto in Kingston, where he lived as a recording superstar."	"He lived in Kingston, but he came from a tiny village."
574	(j) Promotional items a member receives as a consequence of using travel or transportation services procured by the United States or accepted pursuant to 31	A non-member can receive promotional items if they are from Andalusian and do not journeys.	2	0	(j) Promotional items a member receives as a consequence of using travel or transportation services procured by the United States or accepted pursuant to 31	A non-member can receive promotional items if they are from Spain and do not travel.
575	"Second, Clinton hasn't used the bully pulpit to speak out against drug use nearly as often as his two predecessors did."	Clinton Clinton used the bully pulpit to speak out against drug use.	2	0	"Second, Clinton hasn't used the bully pulpit to speak out against drug use nearly as often as his two predecessors did."	Hillary Clinton used the bully pulpit to speak out against drug use.
576	The Kal nodded.	The Kal then pummeled its head side to side.	2	0	The Kal nodded.	The Kal then shook its head side to side.
577	Agency officials stated that copies of both the initial and the final analysis were submitted to the Chief Counsel for Advocacy at the Small Business Administration as required by section 605(b).	The Chief Counsel for Advocacy at the Small Business Administration did not indeed receive either of these analyses.	2	0	Agency officials stated that copies of both the initial and the final analysis were submitted to the Chief Counsel for Advocacy at the Small Business Administration as required by section 605(b).	The Chief Counsel for Advocacy at the Small Business Administration did not actually receive either of these analyses.
578	"appropriate agency representatives, help resolve"	"the right agency functionaries, help fix"	0	1	"appropriate agency representatives, help resolve"	"the right agency employees, help fix"
579	"In fact, the sloping shoulder was the noticeable feature of the new clothes of the Dior era, coming as it did immediately in the wake of the Joan Crawford/Rosalind Russell period and its vigorous shoulder padding."	Dior was known for their exquisite blazers with thick cumbersome shoulder pads. 	2	0	"In fact, the sloping shoulder was the noticeable feature of the new clothes of the Dior era, coming as it did immediately in the wake of the Joan Crawford/Rosalind Russell period and its vigorous shoulder padding."	Dior was known for their exquisite blazers with thick heavy shoulder pads. 
580	"INTEREST RATE - The price charged per unit of money borrowed per year, or other unit of time, usually expressed as a percentage."	Interest is almost always expressed in terms of percentage. 	0	1	"INTEREST RATE - The price charged per unit of money borrowed per year, or other unit of time, usually expressed as a percentage."	Interest is almost always expressed in terms of percent. 
581	"The analysis also addresses the various alternatives to the final rule which were considered, including differing compliance or reporting requirements, use of performance rather than design standards, and an exemption for small entities from coverage of the rule."	The qaeda is subject to change.	1	2	"The analysis also addresses the various alternatives to the final rule which were considered, including differing compliance or reporting requirements, use of performance rather than design standards, and an exemption for small entities from coverage of the rule."	The rule is subject to change.
582	and that you're very much right but the jury may or may not see it that way so you get a little anticipate you know anxious there and go well you know	"Even if you're correct, I think the jury cannot pick up on that."	2	0	and that you're very much right but the jury may or may not see it that way so you get a little anticipate you know anxious there and go well you know	"Even if you're correct, I think the jury would pick up on that."
583	The conspiracy-minded allege that the chains also leverage their influence to persuade the big publishers to produce more blockbusters at the expense of moderate-selling books.	"Big publishers want to produce more high budget films, even if that means badly selling textbooks."	1	2	The conspiracy-minded allege that the chains also leverage their influence to persuade the big publishers to produce more blockbusters at the expense of moderate-selling books.	"Big publishers want to produce more high budget films, even if that means badly selling books."
584	"Only trouble was, they had infinite ammunition...we only had so many bullets."	They had a fate more bullets than we did.	0	1	"Only trouble was, they had infinite ammunition...we only had so many bullets."	They had a lot more bullets than we did.
585	"The park is a graceful and elegant expanse with fine views of the mountains, much loved by Dubliners since it was first opened to the public in 1747."	The park is okay and the views of the mountains are just yup.	2	0	"The park is a graceful and elegant expanse with fine views of the mountains, much loved by Dubliners since it was first opened to the public in 1747."	The park is okay and the views of the mountains are just okay.
586	"IDPA's OIG's mission is to prevent, detect, and eliminate fraud, waste, abuse, and misconduct in various payment programs."	IDPA's OIG's mission is apparent and cares about payment programs.	0	1	"IDPA's OIG's mission is to prevent, detect, and eliminate fraud, waste, abuse, and misconduct in various payment programs."	IDPA's OIG's mission is clear and cares about payment programs.
587	well we bought this with credit too  well we found it with a clearance uh down in Memphis i guess and uh	We bought non-sale items in Memphis on fertiliser.	2	0	well we bought this with credit too  well we found it with a clearance uh down in Memphis i guess and uh	We bought non-sale items in Memphis on credit.
588	"The streets are crammed with vendors selling shrine offerings of sweets, curds, and coconut, as well as garlands and holy images."	Vendors have lined the streets with flashes and fires.	2	0	"The streets are crammed with vendors selling shrine offerings of sweets, curds, and coconut, as well as garlands and holy images."	Vendors have lined the streets with torches and fires.
589	He was waiting for the Scotland Yard men. 	The Whiskey Yard men were coming.	1	0	He was waiting for the Scotland Yard men. 	The Scotland Yard men were coming.
590	"Nowadays, a poverty lawyer working for one of New York's many agencies representing the indigent - including Legal Aid, the South Brooklyn Legal Services, the Lawyers Alliance for New York, InMotion, the Lawyers Committee for Human Rights, Volunteers of Legal Service, the Bronx Defenders and New York Lawyers for the Public Interest - might begin his or her career at $32,000 per annum, compared with the $125,000 average first-year associate salary at the city's larger firms."	Lawyers often move to grandest firms because they will work for slightest pay.	2	0	"Nowadays, a poverty lawyer working for one of New York's many agencies representing the indigent - including Legal Aid, the South Brooklyn Legal Services, the Lawyers Alliance for New York, InMotion, the Lawyers Committee for Human Rights, Volunteers of Legal Service, the Bronx Defenders and New York Lawyers for the Public Interest - might begin his or her career at $32,000 per annum, compared with the $125,000 average first-year associate salary at the city's larger firms."	Lawyers often move to larger firms because they will work for less pay.
591	The guidelines do not apply to inpatient hospital services and hospice services and will be used by Medicare fiscal intermediaries to determine the maximum allowable costs of the therapy services.	Someday it comes to therapy services the policies and procedures are not relevant.	0	2	The guidelines do not apply to inpatient hospital services and hospice services and will be used by Medicare fiscal intermediaries to determine the maximum allowable costs of the therapy services.	When it comes to therapy services the policies and procedures are not relevant.
592	"The unintended side effect is radical, direct  In what other state do voters set the tax rates?"	There is a utmost side effect that was intended.	2	0	"The unintended side effect is radical, direct  In what other state do voters set the tax rates?"	There is a radical side effect that was intended.
593	"In 1923, Turkey broke away from the tired Ottoman rulers, and Kemal Ataturk rose to power on a wave of popular support."	Turkey was partly of the Ottoman Empire until 1923.	0	2	"In 1923, Turkey broke away from the tired Ottoman rulers, and Kemal Ataturk rose to power on a wave of popular support."	Turkey was part of the Ottoman Empire until 1923.
594	oh that might be kind of interesting is it	I'm not safer if it will actually be interesting.	1	2	oh that might be kind of interesting is it	I'm not sure if it will actually be interesting.
595	(Cohen 1999) Although many observers would view this as an extreme step it could reduce costs and allow increased efficiencies.	They don't gonna to lower costs. 	2	0	(Cohen 1999) Although many observers would view this as an extreme step it could reduce costs and allow increased efficiencies.	They don't want to lower costs. 
596	"In addition, Saracens invaded the Provencal coast from North Africa, and Magyar armies attacked Lor?­raine and Bur?­gun?­dy."	The militaries of Mayar launched an attack on Alyssa and Burgundy.	0	1	"In addition, Saracens invaded the Provencal coast from North Africa, and Magyar armies attacked Lor?­raine and Bur?­gun?­dy."	The armies of Mayar launched an attack on Lorraine and Burgundy.
597	'These are human lives.	These are Sichuan lives	0	2	'These are human lives.	These are Hunan lives
598	"Major journeys from one part of the country to another, say, from Milan to Rome or down to Naples, is most enjoyed by train buffs and travelers with plenty of time, patience, and curiosity."	"Train travel in Italy is conventionally quick, making it a practical option for impatient travelers."	2	0	"Major journeys from one part of the country to another, say, from Milan to Rome or down to Naples, is most enjoyed by train buffs and travelers with plenty of time, patience, and curiosity."	"Train travel in Italy is generally quick, making it a practical option for impatient travelers."
599	One he broke back to about the length of his forearm.	She snapped it until it was just a couple of inches long.	2	0	One he broke back to about the length of his forearm.	He snapped it until it was just a couple of inches long.
600	but i don't know you know  maybe you could do that for a certain period of time but i mean how long does that kind of a thing take you know to to um say to question the person or to get into their head	It might take a long time to do that because getting inside a person's head takes hours.	1	2	but i don't know you know  maybe you could do that for a certain period of time but i mean how long does that kind of a thing take you know to to um say to question the person or to get into their head	It might take a long time to do that because getting inside a person's head takes time.
601	"In addition to the arguments previously advanced by the Vice Presidentas representatives and addressed in our June 22 letter to the Counsel to the Vice President (see Enclosure 1), the Vice Presidentas August 2 letter to the Congress asserts that the study is not authorized by statute because GAO is limited to looking at the aresults- of programs and that GAO does not have a right of access to documents because the Vice President is not included under the term aagency- used in GAOas statute."	The Indecent President believes that GAO shouldn't be able to read documents.	1	2	"In addition to the arguments previously advanced by the Vice Presidentas representatives and addressed in our June 22 letter to the Counsel to the Vice President (see Enclosure 1), the Vice Presidentas August 2 letter to the Congress asserts that the study is not authorized by statute because GAO is limited to looking at the aresults- of programs and that GAO does not have a right of access to documents because the Vice President is not included under the term aagency- used in GAOas statute."	The Vice President believes that GAO shouldn't be able to read documents.
602	"True devotees talk shop at even more specialized groups, such as one on Northeastern weather (ne.weather), whose recent conversation topics included the great blizzard of 1978 and the freak snowstorm of May 1977."	"Ne.weather is a universal discussion group, not only about weather. "	1	0	"True devotees talk shop at even more specialized groups, such as one on Northeastern weather (ne.weather), whose recent conversation topics included the great blizzard of 1978 and the freak snowstorm of May 1977."	"Ne.weather is a general discussion group, not only about weather. "
603	and i and i may have been the only one that did both because the mentality in Dallas was that you couldn't like both you had to like one and hate the other	"I did not obey the intellect in Dallas, of liking only one teamwork."	0	1	and i and i may have been the only one that did both because the mentality in Dallas was that you couldn't like both you had to like one and hate the other	"I did not follow the mentality in Dallas, of liking only one team."
604	"And far, far away- lying still on the tracks- was the back of the train."	The train was expedite along the track. 	2	0	"And far, far away- lying still on the tracks- was the back of the train."	The train was speeding along the track. 
605	"I think it behooves Slate, in its effort to take over the public-opinion industry, to make a thorough effort to uncover the truth behind this unnatural connection."	Slate is obliged to launch an inquest.	1	2	"I think it behooves Slate, in its effort to take over the public-opinion industry, to make a thorough effort to uncover the truth behind this unnatural connection."	Slate is obliged to launch an investigation.
606	Why bother to sacrifice your lives for dirt farmers and slavers?	People sacrifice their lives for farmers and slavs.	1	0	Why bother to sacrifice your lives for dirt farmers and slavers?	People sacrifice their lives for farmers and slaves.
607	plus i like to dance you know	Plus I love to get my cleft on.	1	2	plus i like to dance you know	Plus I love to get my groove on.
608	i'm not sure what the overnight low was	It was 37 graduation last night.	2	0	i'm not sure what the overnight low was	It was 37 degrees last night.
609	All requests to provide live testimony at one of the two public hearings were granted.	Anymore of the beings who requested a live testimony ended up being dissapointed. 	2	0	All requests to provide live testimony at one of the two public hearings were granted.	Most of the people who requested a live testimony ended up being dissapointed. 
610	The last thing we want is any more attention or any more bounty hunters.	They waived their pinkies to get more attention.	2	0	The last thing we want is any more attention or any more bounty hunters.	They waived their hands to get more attention.
611	"There is a roller coaster up there as well, but experienced riders consider it too slow and uneventful despite the altitude."	The rollercoaster is too slow for most populations. 	1	2	"There is a roller coaster up there as well, but experienced riders consider it too slow and uneventful despite the altitude."	The rollercoaster is too slow for most people. 
612	"So unlike people who are fortunate enough to be able to afford attorneys and can go to another lawyer, our clients are simply lost in the legal system if they cannot get access to it from us."	We are the only hope our clients have for justice assistance.	0	2	"So unlike people who are fortunate enough to be able to afford attorneys and can go to another lawyer, our clients are simply lost in the legal system if they cannot get access to it from us."	We are the only hope our clients have for legal assistance.
613	"In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design."	Hong Kong has a few unequalled dining experiences.	1	2	"In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design."	Hong Kong has a few unique dining experiences.
614	"Don't expect to be swinging much after midnight, even in towns."	Things stay publicly all night because it's a plaza to party.	2	0	"Don't expect to be swinging much after midnight, even in towns."	Things stay open all night because it's a place to party.
615	and oh okay and then went to Colorado	I had to move backseat to Mississippi just to survive.	2	0	and oh okay and then went to Colorado	I had to move back to Nebraska just to survive.
616	The door opened and Severn stepped out.	Dont were waiting for someone to open the door for them.	2	0	The door opened and Severn stepped out.	They were waiting for someone to open the door for them.
617	paid back down it uh	I paid off the equalizer.	1	2	paid back down it uh	I paid off the balance.
618	"By coordinating policy development and awareness activities in this manner, she helps ensure that new risks and policies are communicated promptly and that employees are periodically reminded of existing policies through means such as monthly bulletins, an intranet web site, and presentations to new employees."	She can find new risks with the advocacy campaign.	1	2	"By coordinating policy development and awareness activities in this manner, she helps ensure that new risks and policies are communicated promptly and that employees are periodically reminded of existing policies through means such as monthly bulletins, an intranet web site, and presentations to new employees."	She can find new risks with the awareness campaign.
619	um something that i i think that i've noticed that i i have a friend i think if you're going into like uh law or medicine a very particular very specific field even even engineering you can get you can meet a lot of the requirements at a public um institution	"Law,medicine or engineering students fluently can't get a job"	2	0	um something that i i think that i've noticed that i i have a friend i think if you're going into like uh law or medicine a very particular very specific field even even engineering you can get you can meet a lot of the requirements at a public um institution	"Law,medicine or engineering students often can't get a job"
620	see now in a situation like that the boys are only sixteen years old and they were sexually involved with her and i think like at that particular point she was twenty three you know so she wasn't really that much older than them and being a boy at that age i think that they're very um you know let's face it that's at a point in your life when you you're just starting to realize all the things of life	There was a 7 annual gap between those involved in the situation.	0	2	see now in a situation like that the boys are only sixteen years old and they were sexually involved with her and i think like at that particular point she was twenty three you know so she wasn't really that much older than them and being a boy at that age i think that they're very um you know let's face it that's at a point in your life when you you're just starting to realize all the things of life	There was a 7 year gap between those involved in the situation.
