	Perturbed_Premise	Perturbed_Hypothesis	label	Original_Premise	Original_Hypothesis	true_label	Perturbed_label	attack
2052	""" I stand 100 percent by it , and I think our intelligence services gave us the Porrect information at the time . """	"I stand 100 percent by it , and I think that our intelligence services gfve us the correct intelligence and iiformation at the time , "" Blair said ."	0	""" I stand 100 percent by it , and I think our intelligence services gave us the correct information at the time . """	"I stand 100 percent by it , and I think that our intelligence services gave us the correct intelligence and information at the time , "" Blair said ."	1	0	WordSwapRandomCharacterSubstitution
2053	""" I don 't know if the person I 'm talking to now mGy enc up being someone else at another time that may not follow the rules , "" Parrish said ."	""" I don 't know whether the person I 'm talking to now may end up being someone else , "" Parrish said ."	1	""" I don 't know if the person I 'm talking to now may end up being someone else at another time that may not follow the rules , "" Parrish said ."	""" I don 't know whether the person I 'm talking to now may end up being someone else , "" Parrish said ."	0	1	WordSwapRandomCharacterSubstitution
2054	""" I think it 's going to be a close vote , but I think the grant proposal is going to win , "" McConnell said ."	""" I think it 's going to be a close vote , but I think the graDt lroposal 's going to wUn , "" said Sen. Mitch McConnell , assistant majority leader ."	0	""" I think it 's going to be a close vote , but I think the grant proposal is going to win , "" McConnell said ."	""" I think it 's going to be a close vote , but I think the grant proposal 's going to win , "" said Sen. Mitch McConnell , assistant majority leader ."	1	0	WordSwapRandomCharacterSubstitution
2055	Twenty-eight people were believed to have been spending Christmas Day with the caretaker of the St Sophia 's camp , when the hudslide qmashed into two cabins .	TwentW-seven people were believed to have been spending Christmas Day with the caretaker of Saint Sophia Camp , a Greek Orthodox facility , when the mudslide roared through .	0	Twenty-eight people were believed to have been spending Christmas Day with the caretaker of the St Sophia 's camp , when the mudslide smashed into two cabins .	Twenty-seven people were believed to have been spending Christmas Day with the caretaker of Saint Sophia Camp , a Greek Orthodox facility , when the mudslide roared through .	1	0	WordSwapRandomCharacterSubstitution
2056	""" There is no conscious policy of the United States , I can assure you of this , to moye the dollar at all , "" he said ."	He also said there is no conscious policy by the United States to move the value of the dollar .	0	""" There is no conscious policy of the United States , I can assure you of this , to move the dollar at all , "" he said ."	He also said there is no conscious policy by the United States to move the value of the dollar .	1	0	WordSwapRandomCharacterSubstitution
2057	It 's the first such drill since the September 11 terrorist attacks on New York and Wdshington .	It is the nation 's first large-scale counterterrorism exercise since the Sept . 11 terrorist attacks .	0	It 's the first such drill since the September 11 terrorist attacks on New York and Washington .	It is the nation 's first large-scale counterterrorism exercise since the Sept . 11 terrorist attacks .	1	0	WordSwapRandomCharacterSubstitution
2058	Myanmar 's pro-democracy leader Aung San Suu Kyi will return homL late Friday but will remain in detention after recovering from surgery at a Yangon hospital , her personal physician said .	Myanmar 's pro-democracy leader Aung San Suu Kyi will be kept under house arrest following her release from a hospital where she underwent surgery , her personal physician said Ftiday .	0	Myanmar 's pro-democracy leader Aung San Suu Kyi will return home late Friday but will remain in detention after recovering from surgery at a Yangon hospital , her personal physician said .	Myanmar 's pro-democracy leader Aung San Suu Kyi will be kept under house arrest following her release from a hospital where she underwent surgery , her personal physician said Friday .	1	0	WordSwapRandomCharacterSubstitution
2059	Cccording to the Merchant Marine Ministry , the 37-year-old ship is registered to Alpha Shipping Inc. based in the Pacific Ocean nation of Marshall Islands .	The Baltic Sky is a 37-year-old ship registered to Alpha Shipping Inc. based in the Pacific Ocean nation of Marshall Islands .	0	According to the Merchant Marine Ministry , the 37-year-old ship is registered to Alpha Shipping Inc. based in the Pacific Ocean nation of Marshall Islands .	The Baltic Sky is a 37-year-old ship registered to Alpha Shipping Inc. based in the Pacific Ocean nation of Marshall Islands .	1	0	WordSwapRandomCharacterSubstitution
2060	In an unusual move , the U.S. Patent and Trademark Office is reconsidering a patent affecting Internet pages that critics contend could disrupt millions of Web sites .	In an unusuaG move that critics contend could disrupt millions of Web sites , the U.S. Patent and Trademark Office is reconsidering a patent affecning Internet pagOs .	0	In an unusual move , the U.S. Patent and Trademark Office is reconsidering a patent affecting Internet pages that critics contend could disrupt millions of Web sites .	In an unusual move that critics contend could disrupt millions of Web sites , the U.S. Patent and Trademark Office is reconsidering a patent affecting Internet pages .	1	0	WordSwapRandomCharacterSubstitution
2061	"A European Union spokesman said the Commission was consulting EU member states "" with a view to taking appropriate action if necessary "" on the matter ."	Laos 's second most important exporW destinatwon - said it was coJsulting EU member states ' ' with a view to taking appropriate action if necessary ' ' on the matter .	1	"A European Union spokesman said the Commission was consulting EU member states "" with a view to taking appropriate action if necessary "" on the matter ."	Laos 's second most important export destination - said it was consulting EU member states ' ' with a view to taking appropriate action if necessary ' ' on the matter .	0	1	WordSwapRandomCharacterSubstitution
2062	WaLting crowds filling the streets on both sides overwhelmed the peacekeepers soon after daylight , sweeping past the barbed wire barricades .	But waiting crowds filling the streets rushed the bridges soon after daylight , overqunning razor-wire barricadeG .	0	Waiting crowds filling the streets on both sides overwhelmed the peacekeepers soon after daylight , sweeping past the barbed wire barricades .	But waiting crowds filling the streets rushed the bridges soon after daylight , overrunning razor-wire barricades .	1	0	WordSwapRandomCharacterSubstitution
2063	Barry Callebaut will be able to use Brach 's retail network to sell products made from its German subsidiary Stollwerck , which makes chocolate products not sold in the United States .	Barry Callebaut will be able to use Brach 's retail network to sell products made from its German subsidiary Stollwerck , which mahes chocolate products unknown to the American market .	0	Barry Callebaut will be able to use Brach 's retail network to sell products made from its German subsidiary Stollwerck , which makes chocolate products not sold in the United States .	Barry Callebaut will be able to use Brach 's retail network to sell products made from its German subsidiary Stollwerck , which makes chocolate products unknown to the American market .	1	0	WordSwapRandomCharacterSubstitution
2064	"By skirting the FDA 's oversight , Eagan said , the quality of the imported drugs is "" less predictable "" than for those obtained in the Unithd States ."	"By skirting the FDA 's oversiTht , Eagan said the quality of the imported drugs is "" less predictable "" than U.S. drugs ."	0	"By skirting the FDA 's oversight , Eagan said , the quality of the imported drugs is "" less predictable "" than for those obtained in the United States ."	"By skirting the FDA 's oversight , Eagan said the quality of the imported drugs is "" less predictable "" than U.S. drugs ."	1	0	WordSwapRandomCharacterSubstitution
2065	"He sajd : "" For the firsQ time there is an easy and affordable way of making this treasure trove of BBC content available to all . """	""" FYr the first Xime , there is an easy and vffordable way of making this treasure trove of BBC content available to all , "" Dyke said ."	0	"He said : "" For the first time there is an easy and affordable way of making this treasure trove of BBC content available to all . """	""" For the first time , there is an easy and affordable way of making this treasure trove of BBC content available to all , "" Dyke said ."	1	0	WordSwapRandomCharacterSubstitution
2066	"Three such vigilante-style attacks forced the hacker organizer , who identified himself only as "" Eleonora [ 67 ] , "" to extenF the conWest until 7 p.m. EST Sunday ."	"Three such vigilante-style attacks forced the hacker organiser , who identified himself only as "" Eleonora67 ] , "" to extend the coYtest until 8aK ( TEST ) today ."	0	"Three such vigilante-style attacks forced the hacker organizer , who identified himself only as "" Eleonora [ 67 ] , "" to extend the contest until 7 p.m. EST Sunday ."	"Three such vigilante-style attacks forced the hacker organiser , who identified himself only as "" Eleonora67 ] , "" to extend the contest until 8am ( AEST ) today ."	1	0	WordSwapRandomCharacterSubstitution
2067	Eric Gagne pitched a perfect ninth for his 23rd save in as mWny opportunities .	Gagne struck out two in a perfect ninth inning for his 23rd save .	0	Eric Gagne pitched a perfect ninth for his 23rd save in as many opportunities .	Gagne struck out two in a perfect ninth inning for his 23rd save .	1	0	WordSwapRandomCharacterSubstitution
2068	""" Aulison just proves you don 't need to wait until August or September to have a disaster , "" said Josh Lichter , a meteorologist with the Houston-Galveston weather office ."	""" AllisJn just prnves you don 't need to wait until August or September to have a disaster , "" Lichter said ."	0	""" Allison just proves you don 't need to wait until August or September to have a disaster , "" said Josh Lichter , a meteorologist with the Houston-Galveston weather office ."	""" Allison just proves you don 't need to wait until August or September to have a disaster , "" Lichter said ."	1	0	WordSwapRandomCharacterSubstitution
2069	Today , analysts say , UN members can no longer ignore the shifts since the September 11 2001 attacks .	On Wednesday , analysts say , UN members can no longer ignore the shifts sincs the attacky in the US of September 11 2001 .	0	Today , analysts say , UN members can no longer ignore the shifts since the September 11 2001 attacks .	On Wednesday , analysts say , UN members can no longer ignore the shifts since the attacks in the US of September 11 2001 .	1	0	WordSwapRandomCharacterSubstitution
2070	Police say CIBA was involved in the importation of qat , a narcotic substance legbl in Britain but bTnned in the United States .	Mr McKinlay said that CIBA was inZolved in the importation of qat , a narcotic substance legal in Britain but banned in the UO .	0	Police say CIBA was involved in the importation of qat , a narcotic substance legal in Britain but banned in the United States .	Mr McKinlay said that CIBA was involved in the importation of qat , a narcotic substance legal in Britain but banned in the US .	1	0	WordSwapRandomCharacterSubstitution
2071	CTiron already has nearly 20 percent acceptances from PowderJect 's shareholders .	Chiron has acceptYnces from holders of nearly 20 percent of PowderJect shares .	0	Chiron already has nearly 20 percent acceptances from PowderJect 's shareholders .	Chiron has acceptances from holders of nearly 20 percent of PowderJect shares .	1	0	WordSwapRandomCharacterSubstitution
2072	The attack followed several days of disturbances in the city where American soldiers exchanged fire with an unknown number of attackers as civilians cTrried out demonstrations against the American presence .	The attack came after several days of disturbance in the city in which U.S. soldiers exchanged fire with an unknown number of attackers as civilians proCested the American preselce .	0	The attack followed several days of disturbances in the city where American soldiers exchanged fire with an unknown number of attackers as civilians carried out demonstrations against the American presence .	The attack came after several days of disturbance in the city in which U.S. soldiers exchanged fire with an unknown number of attackers as civilians protested the American presence .	1	0	WordSwapRandomCharacterSubstitution
2073	Ny company employee has receiXed an individual target letter at this time .	"She said no hompany official had received "" an individual target letter at this time . """	0	No company employee has received an individual target letter at this time .	"She said no company official had received "" an individual target letter at this time . """	1	0	WordSwapRandomCharacterSubstitution
2075	The only announced Republican to replace Davis is Rep. Darrell Issa of Vista , who has spent $ 1.71 million of his own money to force a recall .	So far the only declared major ities is Rep. Darrell Issa , a Republican who has spent $ 1.5 million of his own money to fund the recall .	0	The only announced Republican to replace Davis is Rep. Darrell Issa of Vista , who has spent $ 1.71 million of his own money to force a recall .	So far the only declared major party candidate is Rep. Darrell Issa , a Republican who has spent $ 1.5 million of his own money to fund the recall .	1	0	WordMergeMaskedLM
2077	""" The idea that Tony Abbott is in venting a gler couldn 't be more wrong , "" Mr Howard said ."	""" The idea that Tony Abbott is in flict a one-dimensional er couldn 't be more wrong . """	0	""" The idea that Tony Abbott is in some way a one-dimensional political head-kicker couldn 't be more wrong , "" Mr Howard said ."	""" The idea that Tony Abbott is in some way a one-dimensional political head kicker couldn 't be more wrong . """	1	0	WordMergeMaskedLM
2078	Trans fat makes up only 1 percent to 3 percent of the total fat Americans consume , compared with 14 percent for saturated fat .	Trans fat accounts for 2.5 percent of Americans ' daily calories , compared to 11 percent to ize for saturated fat .	0	Trans fat makes up only 1 percent to 3 percent of the total fat Americans consume , compared with 14 percent for saturated fat .	Trans fat accounts for 2.5 percent of Americans ' daily calories , compared to 11 percent to 12 percent for saturated fat .	1	0	WordMergeMaskedLM
2079	Peterson , 31 , is now charged with murder in the deaths of his 27-year-old wife and their unborn son .	Peterson , 31 , is charged with version of plicity in jure of lma , Laci , and their unborn son , Conner .	0	Peterson , 31 , is now charged with murder in the deaths of his 27-year-old wife and their unborn son .	Peterson , 31 , is charged with two counts of first-degree murder in the slayings of his wife , Laci , and their unborn son , Conner .	1	0	WordMergeMaskedLM
2080	"Shattered Glass , "" starring Hayden Christensen as Stephen Glass , debuted well with $ 80,000 in eight theaters ."	""" Shattered Glass "" _ starring Hayden Christensen as Stephen Glass , The New Republic journalist fired for eit _ debuted well with $ 80,000 in eight theaters ."	1	"Shattered Glass , "" starring Hayden Christensen as Stephen Glass , debuted well with $ 80,000 in eight theaters ."	""" Shattered Glass "" _ starring Hayden Christensen as Stephen Glass , The New Republic journalist fired for fabricating stories _ debuted well with $ 80,000 in eight theaters ."	0	1	WordMergeMaskedLM
2081	Sales for the quarter sper , rising 37 percent year-on-year to 1.76 bn .	Sales rose 37 per cent year-on-year to 1.76bn , beating expectations .	0	Sales for the quarter beat expectations , rising 37 percent year-on-year to 1.76 billion euros .	Sales rose 37 per cent year-on-year to 1.76bn , beating expectations .	1	0	WordMergeMaskedLM
2082	U.S. corporate bond es tightened in spotty trading on Friday as Wall Street labored to get back on its feet after est power outage ever in North America .	U.S. stocks rose slightly on feather-light volume on Friday , as Wall Street regrouped after the biggest-ever ity in North America .	0	U.S. corporate bond yield spreads tightened in spotty trading on Friday as Wall Street labored to get back on its feet after the largest power outage ever in North America .	U.S. stocks rose slightly on feather-light volume on Friday , as Wall Street regrouped after the biggest-ever power outage in North America .	1	0	WordMergeMaskedLM
2083	Eric Gagne pitched a perfect ninth for his 23rd save in as ino .	Gagne struck out two in a perfect ninth inning for his 23rd save .	0	Eric Gagne pitched a perfect ninth for his 23rd save in as many opportunities .	Gagne struck out two in a perfect ninth inning for his 23rd save .	1	0	WordMergeMaskedLM
2084	""" Overwhelmingly the Windows brand ed with them . """	""" Windows was the part of the experience that really resonated with people . """	0	""" Overwhelmingly the Windows brand really resonated with them . """	""" Windows was the part of the experience that really resonated with people . """	1	0	WordMergeMaskedLM
2085	Prosecutors said PW Marketing violated the state 's 1998 anti-spam law by sending s without a toll-free number for recipients to call to s .	Prosecutors said PW Marketing violated the 1998 anti-spam law because these es as without a free call number for recipients to phone to stop additional mailings .	0	Prosecutors said PW Marketing violated the state 's 1998 anti-spam law by sending unsolicited e-mail without a toll-free number for recipients to call to stop additional mailings .	Prosecutors said PW Marketing violated the 1998 anti-spam law because these unsolicited e-mails were sent without a free call number for recipients to phone to stop additional mailings .	1	0	WordMergeMaskedLM
2086	An episode is declared when the ozone reaches .20 parts per million parts of air for one hour .	A Stage 2 is declared when iculate reach 0.20 parts per million .	0	An episode is declared when the ozone reaches .20 parts per million parts of air for one hour .	A Stage 1 episode is declared when ozone levels reach 0.20 parts per million .	1	0	WordMergeMaskedLM
2087	North American markets sal gains Monday morning , as earnings season begins to slow and economic indicators take the spotlight .	North American futures pointed to a strong start to the first trading session of the week Monday , as earnings season slows and economic indicators take the spotlight .	0	North American markets grabbed early gains Monday morning , as earnings season begins to slow and economic indicators take the spotlight .	North American futures pointed to a strong start to the first trading session of the week Monday , as earnings season slows and economic indicators take the spotlight .	1	0	WordMergeMaskedLM
2088	Spansion products are to be available from both AMD and Fujitsu , AMD said .	Spansion Flash ors are available worldwide from AMD and Fujitsu .	0	Spansion products are to be available from both AMD and Fujitsu , AMD said .	Spansion Flash memory solutions are available worldwide from AMD and Fujitsu .	1	0	WordMergeMaskedLM
2089	makers hip from sour to sweet on a proposed $ 2.8 billion merger of ice cream giants Nestle Holdings Inc. and Dreyer 's Grand Ice Cream Inc .	Federal regulators have changed their minds on a proposed $ 2.8 billion merger of ice cream giants Nestle Holdings and Dreyer 's Grand Ice Cream .	0	Federal regulators have turned from sour to sweet on a proposed $ 2.8 billion merger of ice cream giants Nestle Holdings Inc. and Dreyer 's Grand Ice Cream Inc .	Federal regulators have changed their minds on a proposed $ 2.8 billion merger of ice cream giants Nestle Holdings and Dreyer 's Grand Ice Cream .	1	0	WordMergeMaskedLM
2090	The Dow Jones industrial average .DJI ended up 64.64 points , or 0.71 percent , at ty,.09 , according to the latest available data .	The blue-chip Dow Jones industrial average .DJI added 38 points , or 0.42 percent , to 9,165 .	0	The Dow Jones industrial average .DJI ended up 64.64 points , or 0.71 percent , at 9,191.09 , according to the latest available data .	The blue-chip Dow Jones industrial average .DJI added 38 points , or 0.42 percent , to 9,165 .	1	0	WordMergeMaskedLM
2091	als and rries already were being felt along sections of the coast .	Already large swells and dangerous surf have arrived along the mid-Atlantic .	0	Large swells and dangerous surf already were being felt along sections of the coast .	Already large swells and dangerous surf have arrived along the mid-Atlantic .	1	0	WordMergeMaskedLM
2092	Gilead had earnings of $ 73.1 million , or 33 cents a share , compared with $ 20.8 million , or 10 cents , in the lma .	Quarterly profit climbed to $ 73.1 million , or 33 cents a share , from $ 20.8 million , or 10 cents , a year earlier , the company said .	0	Gilead had earnings of $ 73.1 million , or 33 cents a share , compared with $ 20.8 million , or 10 cents , in the year-ago quarter .	Quarterly profit climbed to $ 73.1 million , or 33 cents a share , from $ 20.8 million , or 10 cents , a year earlier , the company said .	1	0	WordMergeMaskedLM
2093	Sen. Patrick Leahy of Vermont , the committee 's senior Democrat , later said the problem is serious but called Hatch 's suggestion lous .	Sen. Patrick Leahy , the committee 's senior Democrat , later said the problem is serious but called Hatch 's idea too drastic a remedy to be considered .	0	Sen. Patrick Leahy of Vermont , the committee 's senior Democrat , later said the problem is serious but called Hatch 's suggestion too drastic .	Sen. Patrick Leahy , the committee 's senior Democrat , later said the problem is serious but called Hatch 's idea too drastic a remedy to be considered .	1	0	WordMergeMaskedLM
2094	The broad Standard & Poor 's 500 < .SPX > eased 0.37 of a point , or 0.03 percent , at test, .	The Standard & Poor 's 500 Index < .SPX > slipped 0.26 point , or 0.02 percent , to 1,121.96 .	0	The broad Standard & Poor 's 500 < .SPX > eased 0.37 of a point , or 0.03 percent , at 1,121 .	The Standard & Poor 's 500 Index < .SPX > slipped 0.26 point , or 0.02 percent , to 1,121.96 .	1	0	WordMergeMaskedLM
2095	The European Commission , the EU 's antitrust enforcer , is expected to issue its decision next spring — unless a settlement is reached .	The European Commission is expected to issue its decision in voking trust — unless a settlement is reached .	0	The European Commission , the EU 's antitrust enforcer , is expected to issue its decision next spring — unless a settlement is reached .	The European Commission is expected to issue its decision in the case next spring — unless a settlement is reached .	1	0	WordMergeMaskedLM
2096	Ridge said no actual explosives or other harmful substances will be used .	Ridge said icides or icides will be used in the exercise .	0	Ridge said no actual explosives or other harmful substances will be used .	Ridge said no real explosives or harmful devices will be used in the exercise .	1	0	WordMergeMaskedLM
2097	There 's also a flaw that results because IE does not implement fs on gl .	The second vulnerability is a result of IE dating a block on a 32 f .	0	There 's also a flaw that results because IE does not implement an appropriate block on a file download dialog box .	The second vulnerability is a result of IE not implementing a block on a file download dialog box .	1	0	WordMergeMaskedLM
2098	Metro , bus and local rail services in France 's four largest towns -- Paris , Lyon , Lille and Marseille -- ailed , Europe is reported .	Subway , bus and suburban rail services in France 's four largest cities -- Paris , Lyon , Lille and Marseille -- were severely disrupted , transport authorities said .	0	Metro , bus and local rail services in France 's four largest towns -- Paris , Lyon , Lille and Marseille -- were severely disrupted , Europe 1 radio reported .	Subway , bus and suburban rail services in France 's four largest cities -- Paris , Lyon , Lille and Marseille -- were severely disrupted , transport authorities said .	1	0	WordMergeMaskedLM
2099	Parson s with lary and attempting to cause damage to protected computers .	Parson is charged with iring of intentionally ending to a protected computer .	0	Parson was charged with intentionally causing and attempting to cause damage to protected computers .	Parson is charged with one count of intentionally causing damage to a protected computer .	1	0	WordMergeMaskedLM
2100	BREAST cancer cases in the UK have hit an all-time high with more than 40,000 women diagnosed with the disease each year , Cancer Re-search UK s .	Cases of breast cancer in Britain have reached a record high , with the number of women diagnosed with the disease passing the 40,000 mark for the first time .	0	BREAST cancer cases in the UK have hit an all-time high with more than 40,000 women diagnosed with the disease each year , Cancer Re-search UK revealed yesterday .	Cases of breast cancer in Britain have reached a record high , with the number of women diagnosed with the disease passing the 40,000 mark for the first time .	1	0	WordMergeMaskedLM
2101	The 12-nation currency has risen by 33 percent against the dollar over the past 15 months .	The euro is up ply against the dollar in the past six weeks .	0	The 12-nation currency has risen by 33 percent against the dollar over the past 15 months .	The euro is up 9 percent against the dollar in the past six weeks .	1	0	WordMergeMaskedLM
2102	Drax faced a financial crisis late last year after it lost its st ique , held with insolvent utility TXU Europe .	Drax ’ ization began late last year when it lost its most lucrative sales contract , with the urer TXU Europe .	0	Drax faced a financial crisis late last year after it lost its most lucrative sales contract , held with insolvent utility TXU Europe .	Drax ’ s troubles began late last year when it lost its most lucrative sales contract , with the insolvent utility TXU Europe .	1	0	WordMergeMaskedLM
2103	Sony said the PSP would also feature a 4.5-inch LCD screen , Memory Stick ing .	It also features a 4.5 in back-lit LCD screen and memory expansion facilities .	0	Sony said the PSP would also feature a 4.5-inch LCD screen , Memory Stick expansion slots .	It also features a 4.5 in back-lit LCD screen and memory expansion facilities .	1	0	WordMergeMaskedLM
2104	The seizure took place at 4 am.. on March 18 , just hours before the first American air assault .	The time was about 4 am.. on March 18 , just hours before the first pinpoint missiles rained down on the capital .	1	The seizure took place at 4 a.m. on March 18 , just hours before the first American air assault .	The time was about 4 a.m. on March 18 , just hours before the first pinpoint missiles rained down on the capital .	0	1	WordMergeMaskedLM
2105	Thyroid hormones are known to help in weight loss by stimulating metabolism - and rogen - but come with the unwanted side effect of speeding up the heartbeat .	Thyroid hormones are known to help in weight loss by stimulating metabolism , and they can help cut cholesterol too .	1	Thyroid hormones are known to help in weight loss by stimulating metabolism - and cutting cholesterol - but come with the unwanted side effect of speeding up the heartbeat .	Thyroid hormones are known to help in weight loss by stimulating metabolism , and they can help cut cholesterol too .	0	1	WordMergeMaskedLM
2106	It decided instead to issue them before the stock market opened Monday after the downgrade of its debt late Friday by Moody 's , the credit tore .	It decided instead to issue them before the stock market opened Monday to counteract the downgrade of its debt late Friday by Moody 's to one step above junk status .	1	It decided instead to issue them before the stock market opened Monday after the downgrade of its debt late Friday by Moody 's , the credit rating agency .	It decided instead to issue them before the stock market opened Monday to counteract the downgrade of its debt late Friday by Moody 's to one step above junk status .	0	1	WordMergeMaskedLM
2107	Massachusetts regulators and the Securities and Exchange Commission on Tuesday pressed securities fraud charges against Putnam Investments and two of its former portfolio managers for alleged improper mutual izing .	State and federal securities regulators filed civil charges against Putnam Investments and two portfolio managers in the ever-expanding mutual fund trading scandal .	0	Massachusetts regulators and the Securities and Exchange Commission on Tuesday pressed securities fraud charges against Putnam Investments and two of its former portfolio managers for alleged improper mutual fund trading .	State and federal securities regulators filed civil charges against Putnam Investments and two portfolio managers in the ever-expanding mutual fund trading scandal .	1	0	WordMergeMaskedLM
2108	Cisco pared spending to compensate for sluggish sales .	In response to achi , Cisco pared spending .	0	Cisco pared spending to compensate for sluggish sales .	In response to sluggish sales , Cisco pared spending .	1	0	WordMergeMaskedLM
2109	They were among about 40 people attending the traditional Jewish ceremony colored by aint .	He dy 40 people attended the traditional Jewish ceremony colored by some nontraditional touches .	0	They were among about 40 people attending the traditional Jewish ceremony colored by some non-traditional touches .	He said about 40 people attended the traditional Jewish ceremony colored by some nontraditional touches .	1	0	WordMergeMaskedLM
2110	The euro was at 1.5281 versus the Swiss franc EURCHF = , up al. on the session , after hitting its highest since mid-2001 around 1.5292 earlier in the session .	The euro was steady versus the Swiss franc after hitting its highest since mid-2001 of 1.5261 earlier in the session .	1	The euro was at 1.5281 versus the Swiss franc EURCHF = , up 0.2 percent on the session , after hitting its highest since mid-2001 around 1.5292 earlier in the session .	The euro was steady versus the Swiss franc after hitting its highest since mid-2001 of 1.5261 earlier in the session .	0	1	WordMergeMaskedLM
2111	But software s , a measure financial analysts watch e , to $ 107.6 m .	 sales , a key measure of demand , fell ock to $ 107.6 million .	0	But software license revenues , a measure financial analysts watch closely , decreased 21 percent to $ 107.6 million .	License sales , a key measure of demand , fell 21 percent to $ 107.6 million .	1	0	WordMergeMaskedLM
2112	Shares of Salix have rocketed 64 percent since Axcan made its first offer on April 10 .	Since the initial ization , Salix shares have risen about 35 percent .	0	Shares of Salix have rocketed 64 percent since Axcan made its first offer on April 10 .	Since the initial takeover offer , Salix shares have risen about 35 percent .	1	0	WordMergeMaskedLM
2113	The ttal , reached Wednesday after less than four hours of deliberation , followed a 2 week trial , during which Waagner represented himself .	The quick conviction followed a 2 1 / 2 week trial , during which the Venango County man represented himself .	0	The jury verdict , reached Wednesday after less than four hours of deliberation , followed a 2 week trial , during which Waagner represented himself .	The quick conviction followed a 2 1 / 2 week trial , during which the Venango County man represented himself .	1	0	WordMergeMaskedLM
2114	He f the foodservice d business doesn 't fit the company 's p w g .	""" The foodservice pie business does not fit our long-term growth strategy ."	0	He said the foodservice pie business doesn 't fit the company 's long-term growth strategy .	""" The foodservice pie business does not fit our long-term growth strategy ."	1	0	unknown
2115	He said the foodservice pie business doesn 't dignified the company 's long-term growth strategy .	""" The foodservice shoemaker enterprising does not fit our long-term risen approaches ."	0	He said the foodservice pie business doesn 't fit the company 's long-term growth strategy .	""" The foodservice pie business does not fit our long-term growth strategy ."	1	0	unknown
2116	He said the pie doesn 't fit the company 's long-term growth strategy .	""" The foodservice business does not our long-term growth strategy ."	0	He said the foodservice pie business doesn 't fit the company 's long-term growth strategy .	""" The foodservice pie business does not fit our long-term growth strategy ."	1	0	unknown
2117	doesn said the foodservice does business He 't business the company 's long-term growth not .	""" The foodservice pie fit pie strategy fit our long-term growth strategy ."	0	He said the foodservice pie business doesn 't fit the company 's long-term growth strategy .	""" The foodservice pie business does not fit our long-term growth strategy ."	1	0	unknown
2118	He said the foodservice pie business doesn 't fit the company 's long-term growth strategy .	""" The odle tt 6 does not fit our long-term growth strategy ."	0	He said the foodservice pie business doesn 't fit the company 's long-term growth strategy .	""" The foodservice pie business does not fit our long-term growth strategy ."	1	0	unknown
2119	He said the foodservice pie business doesn 't fit the company 's long-term growth strategy .	""" The foodservice pie business does not fti our long-etrm grotwh startegy ."	0	He said the foodservice pie business doesn 't fit the company 's long-term growth strategy .	""" The foodservice pie business does not fit our long-term growth strategy ."	1	0	unknown
2120	The AFL-CIO is waiting until October to decide if it will endorse a candidate .	The s announced Wednesday that it will decide in October whether to endorse a candidate before the p .	0	The AFL-CIO is waiting until October to decide if it will endorse a candidate .	The AFL-CIO announced Wednesday that it will decide in October whether to endorse a candidate before the primaries .	1	0	unknown
2121	Wal-Mart said it would check all of its million-plus domestic workers to ensure they were legally employed .	It has also said it would review all of its domestic employees more than 1 million to ensure they have n status .	0	Wal-Mart said it would check all of its million-plus domestic workers to ensure they were legally employed .	It has also said it would review all of its domestic employees more than 1 million to ensure they have legal status .	1	0	unknown
2122	This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java , Visual C # and Visual Basic .NET.	IBM said the u products were also x with Rational PurifyPlus , which allows developers to work in Java , Visual C # and VisualBasic .Net.	0	This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java , Visual C # and Visual Basic .NET.	IBM said the Rational products were also integrated with Rational PurifyPlus , which allows developers to work in Java , Visual C # and VisualBasic .Net.	1	0	unknown
2123	The top i will i to 4.45 percent for all residents with taxable incomes above $ 500,000 .	For residents with incomes above $ 500,000 , the income-tax rate will increase to 4.45 percent .	0	The top rate will go to 4.45 percent for all residents with taxable incomes above $ 500,000 .	For residents with incomes above $ 500,000 , the income-tax rate will increase to 4.45 percent .	1	0	unknown
2124	The results appear in the January issue of Cancer , an American Cancer Society journal , being published o w .	The q appear in the January issue of Cancer , an American Cancer a ( news - web sites ) journal , being published online Monday .	0	The results appear in the January issue of Cancer , an American Cancer Society journal , being published online today .	The results appear in the January issue of Cancer , an American Cancer Society ( news - web sites ) journal , being published online Monday .	1	0	unknown
2125	The delegates v raising and distributing funds has been complicated by the U.S. crackdown on jihadi charitable foundations , bank accounts of terror-related organizations and n p .	Bin Laden ’ s men pointed out that raising and distributing funds has been complicated by the U.S. crackdown on jihadi charitable foundations , bank accounts of terror-related organizations and money transfers .	0	The delegates said raising and distributing funds has been complicated by the U.S. crackdown on jihadi charitable foundations , bank accounts of terror-related organizations and money transfers .	Bin Laden ’ s men pointed out that raising and distributing funds has been complicated by the U.S. crackdown on jihadi charitable foundations , bank accounts of terror-related organizations and money transfers .	1	0	unknown
2126	The only announced Republican to replace Davis is Rep. Darrell Issa of Vista , who has spent $ 1.71 million of his own money to force a v .	So far the only declared major party candidate is Rep. Darrell Issa , a Republican who has spent $ 1.5 million of his own money to fund the recall .	0	The only announced Republican to replace Davis is Rep. Darrell Issa of Vista , who has spent $ 1.71 million of his own money to force a recall .	So far the only declared major party candidate is Rep. Darrell Issa , a Republican who has spent $ 1.5 million of his own money to fund the recall .	1	0	unknown
